,artist_name,plays,songs,var,std
0,Alligatoah,1883,50,365.45346938775515,19.11683732702026
1,Bukahara,1318,38,976.5462304409672,31.24973968597126
2,Trailerpark,1307,31,263.60645161290324,16.23596167810528
3,Joep Beving,1054,39,401.9730094466937,20.04926456124248
4,YUNGBLUD,1000,37,822.0270270270271,28.671013707698357
5,Trettmann,968,17,1672.1838235294117,40.892344314424086
6,Von Wegen Lisbeth,861,26,417.06615384615384,20.422197576317632
7,Panic! At The Disco,807,24,315.20108695652175,17.753903428725803
8,Loyle Carner,698,7,2321.904761904762,48.186146991690066
9,grandson,696,19,974.5789473684213,31.218247025872884
10,RAF Camora,610,10,2480.4444444444443,49.804060521652694
11,Bonez MC,562,13,846.8589743589743,29.100841471664943
12,257ers,541,32,121.5070564516129,11.02302392502225
13,Sticky Fingers,489,13,262.7564102564102,16.209762806913933
14,Timi Hendrix,447,14,114.84065934065936,10.716373422975673
15,Gzuz,431,15,464.35238095238094,21.548837113690865
16,187 Strassenbande,417,16,359.12916666666666,18.95070359291883
17,Woodkid,394,14,407.3626373626373,20.183226634080025
18,AnnenMayKantereit,390,20,212.47368421052633,14.576477085034172
19,Twenty One Pilots,345,9,979.75,31.300958451779078
20,Ed Sheeran,336,6,1255.6,35.43444651747787
21,Leoniden,304,15,472.3523809523809,21.73366929334255
22,Denny Wright & The Hot Club Of London,273,17,3.3088235294117645,1.8190171877724972
23,All Time Low,268,5,2093.3,45.75259555478793
24,DON BROCO,254,2,10368.0,101.82337649086284
25,Bausa,231,9,503.99999999999994,22.449944320643645
26,Schmyt,227,7,361.61904761904765,19.016283748909714
27,Mike Shinoda,206,3,289.33333333333337,17.009801096230767
28,Nymano,203,4,2264.9166666666665,47.591140632124656
29,Matt Simons,198,2,1352.0,36.76955262170047
30,TheFatRat,194,3,2184.333333333333,46.736851983561465
31,Zuna,194,4,87.0,9.327379053088816
32,Passenger,191,5,5365.7,73.25093856053996
33,Kygo,188,2,5832.0,76.36753236814714
34,Patent Pending,178,1,,
35,Capital Bra,175,8,474.125,21.774411587916674
36,Cafe Music BGM channel,172,10,275.73333333333335,16.605220062779456
37,Snoop Dogg,168,2,13778.0,117.37972567696688
38,Death From Above 1979,165,1,,
39,Saib,158,2,200.0,14.142135623730951
40,Mighty Oaks,156,5,2535.7,50.3557345294456
41,Apache 207,156,7,13.238095238095239,3.6384193323605842
42,Fatoni,149,8,81.69642857142857,9.038607667745545
43,Confetti,143,2,9660.5,98.2878425849301
44,Millencolin,142,2,6962.0,83.43860018001261
45,Lukas Graham,139,3,1902.3333333333333,43.61574639202376
46,Grace Mitchell,136,1,,
47,A$AP Rocky,130,2,5202.0,72.12489168102785
48,James Arthur,130,2,1682.0,41.012193308819754
49,The Defibulators,130,7,139.2857142857143,11.801936887041649
50,Vulfpeck,125,5,800.5,28.293108701590217
51,Flo Rida,123,4,286.9166666666667,16.938614661968867
52,Train,118,2,32.0,5.656854249492381
53,01099,118,3,1724.3333333333333,41.525092815469215
54,Imagine Dragons,117,5,684.8000000000001,26.168683574073803
55,Luciano,117,3,1011.0,31.796226191169293
56,Aim Vision,116,4,1220.6666666666667,34.93804039534368
57,Flitz&Suppe,115,2,2664.5,51.61879502661797
58,Faber,115,6,76.56666666666666,8.750238091998792
59,Hybrid Minds,111,1,,
60,Avicii,111,4,1389.5833333333333,37.27711541057507
61,Triathalon,111,1,,
62,Grinch Hill,111,5,21.7,4.658325879540846
63,Rainer + Grimm,110,1,,
64,Trivium,110,1,,
65,Mitch James,109,1,,
66,Macklemore & Ryan Lewis,108,2,1352.0,36.76955262170047
67,Bastille,108,2,50.0,7.0710678118654755
68,Milky Chance,108,3,1993.0,44.64302857109943
69,Adam Jensen,108,1,,
70,Of Monsters and Men,108,1,,
71,Edward Sharpe & The Magnetic Zeros,107,1,,
72,Joey Pecoraro,106,3,1322.3333333333333,36.363901514184825
73,Hanybal,106,2,882.0,29.698484809834994
74,Bushido,105,3,1084.0,32.92415526630866
75,FIL BO RIVA,105,3,1728.0,41.569219381653056
76,Galantis,104,1,,
77,alt-J,104,1,,
78,L'Indécis,103,3,558.3333333333333,23.62907813126304
79,Waving The Guns,102,5,262.3,16.195678435928517
80,The Pale White,101,1,,
81,Machine Gun Kelly,101,4,946.9166666666666,30.772011092333024
82,J. Roosevelt,101,1,,
83,Billy Joel,100,1,,
84,The Chainsmokers,99,3,1879.0,43.347433603386484
