,artist_name,plays,songs,var,std
0,Kontra K,12009,202,5247.393059455198,72.43889189831108
1,PNL,7777,54,7326.395877009087,85.59436825521342
2,Depeche Mode,7150,306,402.2852673309761,20.057050314813893
3,RAF Camora,4223,112,1852.0835746460748,43.03584058254323
4,Bonez MC,4209,110,3691.5720600500404,60.75830856804722
5,Joshi Mizu,3414,75,2385.9556756756747,48.846245256679396
6,Gzuz,3243,71,4747.6221327967805,68.90299073913106
7,AK AUSSERKONTROLLE,3187,80,1884.8973101265822,43.41540406499267
8,Mavi Phoenix,3123,45,2144.5636363636363,46.30943355692916
9,Moop Mama,2632,86,1308.1712722298223,36.168650406530546
10,Trettmann,2195,46,1875.2739130434784,43.304432949104395
11,Seeed,2149,81,879.6271604938274,29.658509074021698
12,Lorde,1547,26,5208.98,72.17326374773417
13,Olli Schulz,1510,40,811.3205128205128,28.483688539592496
14,Olexesh,1252,47,937.7141535615175,30.622118698116196
15,Avicii,1227,33,2920.9034090909086,54.045382865614975
16,01099,1097,26,3533.4415384615395,59.44275850313089
17,Capital Bra,1070,91,368.0520146520147,19.18468177093419
18,Von Wegen Lisbeth,1056,22,834.0952380952381,28.880707022080294
19,Haiyti,1019,51,530.5796078431372,23.03431370462635
20,LX,953,21,5657.447619047621,75.21600640187978
21,Dendemann,908,19,1708.5087719298247,41.33411148107365
22,Robin Schulz,870,28,4175.47619047619,64.61792468407036
23,187 Strassenbande,775,41,422.440243902439,20.553351159906722
24,Maxwell,706,56,660.2064935064934,25.694483717453704
25,Milliarden,691,15,1576.3523809523806,39.70330440847941
26,Marteria,683,93,157.3803179055633,12.545131243058531
27,Major Lazer,662,30,2145.305747126437,46.317445386446316
28,Beginner,647,27,2688.0370370370365,51.84628276971298
29,Eminem,639,30,1138.9758620689656,33.7487164506884
30,Betterov,622,23,2010.8616600790517,44.84263217161825
31,Dave Gahan,568,27,998.5754985754987,31.600245229673437
32,Ellie Goulding,563,34,1156.4358288770052,34.00640864421007
33,Soulsavers,560,13,194.74358974358975,13.955056063792426
34,BTNG,516,22,632.8311688311686,25.156135808807534
35,Azet,486,17,875.0073529411765,29.580523202627376
36,Calvin Harris,467,17,2018.6397058823532,44.92927448648991
37,Falco,462,18,1620.5882352941176,40.25653034346251
38,Biffy Clyro,458,56,143.27662337662338,11.969821359428192
39,Sa4,441,33,238.73863636363637,15.451169417349496
40,Rammstein,436,58,55.20145190562613,7.429767957724261
41,The Weeknd,429,16,1768.2958333333333,42.05110977528813
42,Green Day,421,25,1048.2233333333331,32.37627732357958
43,David Guetta,396,22,1484.3809523809523,38.527664766774436
44,Nina Chuba,390,19,362.374269005848,19.036130620634225
45,DAT ADAM,387,15,1800.3142857142861,42.43011060219247
46,Katy Perry,349,24,715.4764492753623,26.748391526881804
47,K.I.Z,335,60,200.5522598870057,14.161647499037874
48,Pitbull,330,20,1409.5263157894738,37.54365879598676
49,Reclam Hörbücher,321,180,0.7069832402234636,0.8408229541487694
50,KUMMER,296,16,917.0666666666667,30.283108603092032
51,Plusmacher,280,10,1914.888888888889,43.759443425264095
52,Tiësto,278,35,426.8789915966387,20.66105010875872
53,RAF 3.0,277,22,284.3484848484849,16.862635762195804
54,Felix Jaehn,273,16,1437.3958333333333,37.91300348605124
55,Pink Floyd,270,59,38.48977206312098,6.20401257760822
56,KitschKrieg,267,10,525.7888888888888,22.93008697953169
57,AnnenMayKantereit,266,41,57.85609756097561,7.606319580518269
58,Bushido,265,33,207.59280303030303,14.408081171006188
59,Lil Nas X,257,17,1330.8602941176468,36.480957966008056
60,SXTN,256,24,281.0144927536232,16.763486891265288
61,Hape Kerkeling,255,181,0.8208103130755063,0.9059858238821987
62,Elton John,254,33,212.84280303030303,14.589133045877093
63,Zara Larsson,252,8,1689.4285714285713,41.10265893380343
64,POL1Z1STENS0HN a.k.a. Jan Böhmermann,251,8,1343.125,36.648669825793135
65,John Williams,249,85,5.875910364145658,2.4240277152181364
66,Tove Lo,246,6,3820.4,61.80938440075261
67,Dr. Dre,244,6,4387.866666666668,66.24097422794043
68,Ufo361,239,33,115.31439393939395,10.738453982738575
69,Pet Shop Boys,236,27,87.43019943019944,9.35041172517015
70,Bausa,234,20,297.0631578947367,17.235520238586844
71,Tears For Fears,227,5,3696.3,60.79720388307344
72,Cha Se-Eun,226,18,8.614379084967322,2.9350262494511563
73,Alligatoah,218,36,107.19682539682536,10.353589976275154
74,Skinny Al,213,9,1545.9999999999998,39.319206502674994
75,Edwin Pearson,213,17,9.014705882352942,3.0024499799918303
76,Clean Bandit,213,7,1921.2857142857144,43.83247328506246
77,Adele,211,16,686.0291666666667,26.192158495753393
78,Flo Rida,206,10,1293.1555555555558,35.96047212642731
79,Jan Böhmermann,205,51,122.13960784313731,11.05167896037237
80,Tropikel Ltd,204,15,536.9714285714288,23.172643970238457
81,SKYYZ,199,15,15.923809523809526,3.9904648255321744
82,delo cloonz,198,16,3.183333333333333,1.7841898254763513
83,Sia,197,25,327.9433333333333,18.109205762079498
84,Nicki Minaj,194,25,10.190000000000001,3.1921779399024737
85,Galantis,193,11,1154.6727272727273,33.980475677552356
86,Juju,189,8,843.4107142857143,29.04153429634382
87,Hanybal,186,14,594.6813186813188,24.38608863022766
88,Kygo,185,13,546.5256410256412,23.377887864938554
89,Coldplay,184,33,164.4393939393939,12.823392450494289
90,Ava Max,183,9,1290.5,35.92352989337211
91,Alexander Marcus,182,38,16.008534850640114,4.001066714095145
92,Megan Thee Stallion,182,22,4.874458874458874,2.207817672376701
93,Jess Glynne,180,3,2847.0,53.3572862878164
94,Demi Lovato,174,7,1648.8095238095239,40.60553563012713
95,Giant Rooks,174,24,66.6304347826087,8.162746767026936
96,Apache 207,172,5,1637.8000000000002,40.46974178321379
97,Danger Dan,172,2,1250.0,35.35533905932738
98,John D. Boswell,170,14,304.13186813186815,17.43937694219229
99,Bastille,167,37,118.64564564564567,10.89245820031666
100,Nappy Roots,166,1,,
101,Marlon Roudette,165,2,144.5,12.020815280171307
102,Kendrick Lamar,164,13,1055.7564102564104,32.49240542428969
103,Lilly Wood and The Prick,163,3,8533.333333333332,92.37604307034012
104,Natalie La Rose,159,2,12324.5,111.01576464628796
105,Deichkind,156,24,122.6086956521739,11.07288109085318
106,Herbert Grönemeyer,155,65,4.490384615384615,2.1190527637094396
107,XATAR,154,9,1962.8611111111109,44.304188414992
108,Jasmine Thompson,154,12,664.6969696969696,25.781717741395155
109,Queen,151,19,544.1637426900587,23.3273175202392
110,Meghan Trainor,150,8,785.0714285714286,28.01912612076666
111,U2,150,25,58.583333333333336,7.65397500213669
112,DJ Snake,149,5,3337.2000000000003,57.76850352917237
113,Charli XCX,148,7,2393.4761904761904,48.92316619431116
114,Roy Bianco & Die Abbrunzati Boys,146,4,591.0,24.310491562286437
115,DMX,146,6,863.8666666666668,29.39160877983148
116,Bilderbuch,146,11,295.8181818181818,17.199365738834146
117,Adam Lambert,146,4,2097.0,45.79301256742124
118,Scarlet Pleasure,144,4,1822.0,42.68489194082609
119,Far East Movement,144,1,,
120,Sigala,144,7,703.2857142857143,26.51953457897997
121,Johannes Brahms,143,29,91.35221674876847,9.55783535894862
122,M.I.A.,142,3,5392.333333333332,73.43250869562698
123,AchtVier,140,10,429.55555555555554,20.725722075613085
124,Hasuna,137,1,,
125,Cornelia Funke,136,58,1.5632183908045976,1.2502873232999676
126,Lady Gaga,136,12,590.060606060606,24.291163126960512
127,LunchMoney Lewis,135,3,2677.0,51.73973328110612
128,David Bowie,134,24,183.03623188405797,13.52908836115937
129,VIZE,133,3,1434.3333333333335,37.87259343289463
130,Måns Zelmerlöw,132,2,8450.0,91.92388155425118
131,Cigarettes After Sex,132,24,29.91304347826087,5.469281806440483
132,OneRepublic,131,14,187.17032967032966,13.681020783199244
133,Alessia Cara,130,3,2094.3333333333335,45.76388678131845
134,Ariana Grande,127,18,56.05555555555555,7.487025815072067
135,Travis Scott,126,10,573.6,23.949947807876327
136,Lost Frequencies,126,5,2004.1999999999998,44.76829235072519
137,Bosse,123,35,29.904201680672273,5.468473432382411
138,Axwell /\ Ingrosso,122,5,2510.2999999999997,50.102894127984264
139,Martin Garrix,122,12,751.7878787878788,27.418750496473738
140,Zuna,120,20,166.21052631578948,12.892266143536965
141,Martin Solveig,120,5,2588.0,50.872389367907616
142,Tungevaag,120,5,2532.0,50.3189825016365
143,Men Without Hats,117,1,,
144,Jack Garratt,116,7,646.9523809523811,25.43525861776092
145,Doja Cat,116,17,10.654411764705884,3.2641096434871613
146,LGoony,116,4,974.6666666666666,31.219651930581588
147,Ali As,115,10,412.5,20.310096011589902
148,Alan Walker,114,12,370.8181818181818,19.256639941022467
149,CRO,113,4,2234.25,47.26785376976619
150,Kraftklub,113,10,216.23333333333332,14.704874475266129
151,Maeckes,112,5,56.300000000000004,7.503332592921629
152,Philip George,111,1,,
153,Die Fantastischen Vier,110,28,80.95767195767193,8.997648134800112
154,XOV,110,1,,
155,The Chainsmokers,110,8,322.7857142857143,17.9662381784756
156,Chris Brown,109,12,511.9015151515152,22.625240665051834
157,Madcon,108,4,2704.0,52.0
158,Feder,107,2,5100.5,71.4177848998413
159,Disclosure,106,7,1304.1428571428576,36.11291814770523
160,Anna Naklab,106,1,,
161,Mr. Cool Guy Producer Guy,105,1,,
162,DJ Erise,102,9,961.0,31.0
163,Mark Ronson,101,2,4704.5,68.58935777509511
164,Hoodie Allen,101,3,3201.333333333334,56.58032638058333
165,Camouflage,101,3,1209.3333333333333,34.7754702819866
