,master_metadata_track_name,master_metadata_album_album_name,spotify_track_uri,master_metadata_album_artist_name
0,HENNESSYxMTNDEW,HENNESSYxMTNDEW,spotify:track:2V7T78zqUe8SK0mxox6Vp1,DAT ADAM
1,Electric Body (feat. ScHoolboy Q),AT.LONG.LAST.A$AP,spotify:track:6br4Pc0BzU6dTD5fEmks2i,A$AP Rocky
3,Have It All,Have It All,spotify:track:51CM3QOM5ROetAE8rDIsuV,Jay Cosmic
4,Hello,Hello,spotify:track:1JSPYzKCgRJaALWS6aimBK,Sean Bradford
5,Sweet Lovin' - Original Mix,Sweet Lovin',spotify:track:5Y3LTdywsMjLsuwTmNWGVO,Sigala
6,Yesterday,Yesterday,spotify:track:0JE7iwRrP4pnOL8L6bwzHm,Borgeous
7,Orient Express,Orient Express,spotify:track:3hobMVLR2fCLFEc1Hqtklq,Leines
8,Together,Together,spotify:track:4MDiNTb9okAxCQDWnlSUCg,The Magician
9,Until The Morning - Joe Stone Remix Edit,Until The Morning (Joe Stone Remix),spotify:track:5EjE2h80N5m3vG6kpGjqCX,Kris Kross Amsterdam
10,Dying for You (feat. Alex Aris) - Radio Edit,Dying For You (feat. Alex Aris),spotify:track:59A6lBd9QmcD8rQTZPj1xD,Otto Knows
11,Girls Like (feat. Zara Larsson),Girls Like (feat. Zara Larsson),spotify:track:0rHVd8h0cFwgLgPFem6S60,Tinie Tempah
12,Mr Green Anthem - Radio Edit,Invitation to Play,spotify:track:2KKvg7leHVFFma299NtctX,Mr. Green Sound Project
13,Donald Trump,Donald Trump - Single,spotify:track:3uulVrxiI7iLTjOBZsaiF8,Mac Miller
15,Smoke Signals,Smoke Signals,spotify:track:19bR5FrmFYFardNqFQm6Yy,Hotel Garuda
16,Silence - Monarchs Remix,Silence,spotify:track:5BwaJHoXUDLcBFufvYHk07,Sunset Child
17,Body Talk - Bakermat Remix,Body Talk (Remixes),spotify:track:5aCMdgDVihQ4TdNwB8Mzvx,Foxes
18,Cusp - Radio Edit,Cusp,spotify:track:3Zub0Mihyt3KiTnHdlYO1i,Seven Lions
19,Bright Side,Bright Side,spotify:track:2S9iiSgw5def4P1ypAeS0R,Vicetone
20,High & Low,Wanted EP,spotify:track:5iSvunC40PI73VQAEj1wD8,4AM
21,Echo,Life's A Beach,spotify:track:2vUcevVdMWPS0AO7jB7oaL,Cut Snake
22,Can't Stop Playing (Makes Me High) - Oliver Heldens & Gregor Salto Vocal Mix Edit,Can't Stop Playing (Makes Me High),spotify:track:7ev2lOXMdzyJ5qCXUnrRns,DR. KUCHO!
23,Once More,Once More,spotify:track:6uGhCbbX3Wh8Ur57uDjSze,Luke Bond
24,I Could Be Wrong - Radio Edit,I Could Be Wrong,spotify:track:7J4wblKdXMhoHTI1qTr05l,Chocolate Puma
25,Shine,Shine,spotify:track:50Yw4SdUVRjlkvtAh6AhKx,Max Vangeli
26,Energy,If You're Reading This It's Too Late,spotify:track:39h7qYbmksGgxQzDH9X7Aq,Drake
