,artist_name,artist_uri,genres
0,Aim Vision,spotify:artist:2sis3xwzmvAPHBEOrztf0B,
1,Swiss,spotify:artist:702Fgj9mIQ9bzfp9i9Dg7B,
2,Swiss & Die Andern,spotify:artist:3d8f0YBZivistZ4Ohauncb,
3,Alligatoah,spotify:artist:0r0R5nIjDY04TfxRM10Bcb,
4,Giant Rooks,spotify:artist:5wD0owYApRtYmjPWavWKvb,
5,Social House,spotify:artist:5UjifI1TYefXWn9GdqDOHl,
6,Tom Thaler & Basil,spotify:artist:7AIhFHkc00F054w0fFEFWj,
7,KYMA,spotify:artist:6nQP3isJj3BtmiAGkMEv6b,
8,Ajar,spotify:artist:46OlTXwi8hanoxXHTE7E5z,
9,Waving The Guns,spotify:artist:1b6KZ6XeJLiFJkFghmkbe8,
10,SYML,spotify:artist:6AyATGg7mDgBlZ4N5uNog0,
11,Bring Me The Horizon,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,
12,HIGHNY,spotify:artist:0BmK8WXQLYAnoNCX4LTLdf,
13,Yung Nils Plug,spotify:artist:0eQQSEJlAzqxnecsvPaPYQ,
14,Audiovista,spotify:artist:6niwlYgjxTpkDtrKN4KWiZ,
18,B.Winters,spotify:artist:6eeayhLARPGeYMj8k8CHIg,
19,Lucid Keys,spotify:artist:5l1oiy2VufzI1tbdpiaoQi,
20,Solrakmi,spotify:artist:5XGMQDMtmKNgCPrQ9FqUfL,
21,tawnbei,spotify:artist:2Np0o8All4XesC4ZMGufqI,
22,Strong Maurice,spotify:artist:47gEMSfOuk4AEQbKhT0O3V,
23,Chill Select,spotify:artist:5orR9ec1E60lLb1U76m3ul,
24,Pandrezz,spotify:artist:65ZGdYSRT3Rmv6P7DN4XCC,
25,j'san,spotify:artist:5iMUho98faEp2w6j5p44PH,
26,Flitz&Suppe,spotify:artist:49WbztFLx9iDTh8LHEIF84,
27,J. Roosevelt,spotify:artist:4kCBBWXeKXtikcTFHiQ2QW,
28,Ours Samplus,spotify:artist:0XtVN1QaB7vYRpw4qEIRt0,
29,GrandHuit,spotify:artist:572RRn7zCHjKepDAmB3gH0,
30,baaskaT,spotify:artist:0mvxieGhMmy9gnbYGYtnI6,
31,Kupla,spotify:artist:7daSp9zXk1dmqNxwKFkL35,
32,Gyvus,spotify:artist:6qNRi3Mn9apPNnMSt6Qbvn,
33,The Deli,spotify:artist:1EJzWKVDeysgbyuZGfEFde,
34,Loyle Carner,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,
35,Rebel Kleff,spotify:artist:4IZnj59pur7nfqpdGzuPF6,
36,Donkey Kid,spotify:artist:2FJBOBjXqWC5s3kDfs9nY4,
39,Bukahara,spotify:artist:21K0gLOe4i0o6l1MHd5a6W,
41,Lostboi Lino,spotify:artist:3dQiKOMNVmrryTnYTRw9qa,
42,Tove Lo,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,
43,Bruno Major,spotify:artist:0hDjKSKjl1DC7ovYTDJHe8,
44,Lambert,spotify:artist:6pSQcy8935ABNiK2qOpOlK,
45,Frédéric Chopin,spotify:artist:7y97mc3bZRFXzT2szRM4L4,
46,Arthur Rubinstein,spotify:artist:5N1GUHhFMRFFgMTjSOJDb9,
47,Tom Misch,spotify:artist:1uiEZYehlNivdK3iQyAbye,
48,GoldLink,spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ,
49,Cody Fry,spotify:artist:7dOCnyDR2oEa1hQlvTXvdT,
50,Stu Larsen,spotify:artist:44M8i4BCwuBbmcQWwMaOfH,
51,Clio,spotify:artist:0TMi4dfaeWLOtRybyX09XW,
52,PillowTalk,spotify:artist:0c8mm66bWaIlx5jdUhyYne,
53,Life and Death,spotify:artist:2qOuZhiW6cQcUDGaBQwlxf,
54,Vulfpeck,spotify:artist:7pXu47GoqSYRajmBCjxdD6,
55,Ethan Surman,spotify:artist:12o3BOYKBwjbsjrW0Fm7iu,
56,Insincere,spotify:artist:3IkzWxjxkhMaIlMbvTIRXI,
59,All Time Low,spotify:artist:46gyXjRIvN1NL1eCB8GBxo,
60,Feux,spotify:artist:4bnTHHCHsFujaD34vWr4tV,
62,Marlowe,spotify:artist:6RhsbxbsDk5ypSXFkS41J4,
63,L'Orange,spotify:artist:5kJsAiwFWEaNRPwvtkjnXz,
64,Solemn Brigham,spotify:artist:75vP2W1S1HhYmpi5cL14Oz,
72,Jorja Smith,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd,
77,John Agard,spotify:artist:6R8SE4sx8FJKf3ellRAkdm,
78,Barney Artist,spotify:artist:5iRM7qYip6UNfQaPe2reCz,
82,ascendant vierge,spotify:artist:3IMOGrM63og03I4jMYo35G,
83,Bauernfeind,spotify:artist:0h154IoHceoxecVBZSopbt,
84,Krampf,spotify:artist:1sP5vDxtN8qBPTVxmUAhU9,
85,Enrico Sangiuliano,spotify:artist:1u7DsNFbakULvxnDGtMm90,
86,Moby,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,
88,Aexhy,spotify:artist:1R3HRBLa5jwIKMWLMVpJZR,
89,Funk Tribu,spotify:artist:1vK8NnrPlBlF34LaiFX1SK,
90,ANTNK,spotify:artist:4EqllexXDOjycwQhL5WK5M,
91,EARGASM GOD,spotify:artist:4Fry0sEjFRKflf45xpPUMp,
93,grandson,spotify:artist:4ZgQDCtRqZlhLswVS6MHN4,
94,Mike Shinoda,spotify:artist:6xBZgSMsnKVmaAxzWEwMSD,
96,Patent Pending,spotify:artist:0xNdN9NbR572rKrGQBjPlH,
97,The Decline,spotify:artist:7MMcJHFoJYUjHIk9YwTufv,
98,Jaya The Cat,spotify:artist:3gRJFoOKgAkHI7EZTWKXRy,
99,Anti-Flag,spotify:artist:30sqtiTKIb1oDve0SdYayT,
100,zebrahead,spotify:artist:6SiyKSeJo6gcsS2NvuAbsl,
101,Dragged Under,spotify:artist:3D1uNqaasEWzallSxKo1cH,
102,Sunrise Skater Kids,spotify:artist:5iJsReQNQzuHVkLLXUpRCy,
103,Christina Rotondo,spotify:artist:0JLPvCgJch8H8gdiez8HSY,
104,Arrested Youth,spotify:artist:4UhExRgMW9QR7oNmTI2lPG,
106,Ruck P,spotify:artist:0SIxAAknV8iR2jHcQJ9Sfn,
108,Boris Brejcha,spotify:artist:6caPJFLv1wesmM7gwK1ACy,
