,artist_uri,genre_id
0,spotify:artist:3d8f0YBZivistZ4Ohauncb,antideutsche
1,spotify:artist:3d8f0YBZivistZ4Ohauncb,german alternative rap
2,spotify:artist:0r0R5nIjDY04TfxRM10Bcb,german pop
3,spotify:artist:46OlTXwi8hanoxXHTE7E5z,rap calme
4,spotify:artist:1b6KZ6XeJLiFJkFghmkbe8,antideutsche
5,spotify:artist:1b6KZ6XeJLiFJkFghmkbe8,german alternative rap
6,spotify:artist:6AyATGg7mDgBlZ4N5uNog0,modern indie pop
7,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,melodic metalcore
8,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,metalcore
9,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,modern rock
10,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,rock
11,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,uk metalcore
12,spotify:artist:6eeayhLARPGeYMj8k8CHIg,chill drill
13,spotify:artist:5l1oiy2VufzI1tbdpiaoQi,lo-fi study
14,spotify:artist:5XGMQDMtmKNgCPrQ9FqUfL,focus beats
15,spotify:artist:5orR9ec1E60lLb1U76m3ul,focus beats
16,spotify:artist:65ZGdYSRT3Rmv6P7DN4XCC,lo-fi study
17,spotify:artist:65ZGdYSRT3Rmv6P7DN4XCC,lo-fi beats
18,spotify:artist:5iMUho98faEp2w6j5p44PH,lo-fi beats
19,spotify:artist:5iMUho98faEp2w6j5p44PH,chillhop
20,spotify:artist:49WbztFLx9iDTh8LHEIF84,lo-fi beats
21,spotify:artist:49WbztFLx9iDTh8LHEIF84,chillhop
22,spotify:artist:49WbztFLx9iDTh8LHEIF84,jazz boom bap
23,spotify:artist:0XtVN1QaB7vYRpw4qEIRt0,hip-hop experimental
24,spotify:artist:572RRn7zCHjKepDAmB3gH0,hip-hop experimental
25,spotify:artist:0mvxieGhMmy9gnbYGYtnI6,chillhop
26,spotify:artist:7daSp9zXk1dmqNxwKFkL35,lo-fi beats
27,spotify:artist:7daSp9zXk1dmqNxwKFkL35,anime lo-fi
28,spotify:artist:6qNRi3Mn9apPNnMSt6Qbvn,chillhop
29,spotify:artist:6qNRi3Mn9apPNnMSt6Qbvn,japanese chillhop
30,spotify:artist:1EJzWKVDeysgbyuZGfEFde,lo-fi beats
31,spotify:artist:1EJzWKVDeysgbyuZGfEFde,chillhop
32,spotify:artist:1EJzWKVDeysgbyuZGfEFde,lo-fi house
33,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,indie soul
34,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,london rap
35,spotify:artist:4IZnj59pur7nfqpdGzuPF6,uk alternative hip hop
36,spotify:artist:2FJBOBjXqWC5s3kDfs9nY4,neue neue deutsche welle
37,spotify:artist:21K0gLOe4i0o6l1MHd5a6W,german indie
38,spotify:artist:3dQiKOMNVmrryTnYTRw9qa,neue neue deutsche welle
39,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,dance pop
40,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,metropopolis
41,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,pop
42,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,swedish electropop
43,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,swedish pop
44,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,swedish synthpop
45,spotify:artist:0hDjKSKjl1DC7ovYTDJHe8,singer-songwriter pop
46,spotify:artist:6pSQcy8935ABNiK2qOpOlK,compositional ambient
47,spotify:artist:6pSQcy8935ABNiK2qOpOlK,neo-classical
48,spotify:artist:7y97mc3bZRFXzT2szRM4L4,classical
49,spotify:artist:7y97mc3bZRFXzT2szRM4L4,early romantic era
50,spotify:artist:7y97mc3bZRFXzT2szRM4L4,polish classical
51,spotify:artist:5N1GUHhFMRFFgMTjSOJDb9,classical
52,spotify:artist:5N1GUHhFMRFFgMTjSOJDb9,classical piano
53,spotify:artist:5N1GUHhFMRFFgMTjSOJDb9,polish classical piano
54,spotify:artist:1uiEZYehlNivdK3iQyAbye,indie soul
55,spotify:artist:1uiEZYehlNivdK3iQyAbye,jazz pop
56,spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ,alternative r&b
57,spotify:artist:7dOCnyDR2oEa1hQlvTXvdT,indiecoustica
58,spotify:artist:44M8i4BCwuBbmcQWwMaOfH,indie anthem-folk
59,spotify:artist:44M8i4BCwuBbmcQWwMaOfH,indie folk
60,spotify:artist:44M8i4BCwuBbmcQWwMaOfH,stomp and flutter
61,spotify:artist:0TMi4dfaeWLOtRybyX09XW,french synthpop
62,spotify:artist:0TMi4dfaeWLOtRybyX09XW,nouvelle chanson francaise
