,artist_uri,track_uri
0,spotify:artist:2sis3xwzmvAPHBEOrztf0B,spotify:track:7DOq1mhfUI49SNVAlx8E1v
1,spotify:artist:702Fgj9mIQ9bzfp9i9Dg7B,spotify:track:7Dbq3XgIm824Od54EHIhBC
2,spotify:artist:3d8f0YBZivistZ4Ohauncb,spotify:track:7Dbq3XgIm824Od54EHIhBC
3,spotify:artist:0r0R5nIjDY04TfxRM10Bcb,spotify:track:7Dbq3XgIm824Od54EHIhBC
4,spotify:artist:5wD0owYApRtYmjPWavWKvb,spotify:track:71E4QM6O81q0DX79Cg6EGk
5,spotify:artist:5UjifI1TYefXWn9GdqDOHl,spotify:track:7aksJRV1H0pCds7FSiZ8ZI
6,spotify:artist:7AIhFHkc00F054w0fFEFWj,spotify:track:6yBIrzVvtYoL0meYNmDEHa
7,spotify:artist:6nQP3isJj3BtmiAGkMEv6b,spotify:track:6yBIrzVvtYoL0meYNmDEHa
8,spotify:artist:46OlTXwi8hanoxXHTE7E5z,spotify:track:4nL4zTcQjOADjVziLUrKC4
9,spotify:artist:1b6KZ6XeJLiFJkFghmkbe8,spotify:track:3Bqa6fS5R7XDJCfVbWAq46
10,spotify:artist:6AyATGg7mDgBlZ4N5uNog0,spotify:track:0ElpbbncWT9aS7mgoqEHbQ
11,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,spotify:track:1KTJmfwrk5pYqsi9mkY3nT
12,spotify:artist:0BmK8WXQLYAnoNCX4LTLdf,spotify:track:0dfmg4JoDGMeqtNRF5Gr4t
13,spotify:artist:0eQQSEJlAzqxnecsvPaPYQ,spotify:track:0dfmg4JoDGMeqtNRF5Gr4t
14,spotify:artist:6niwlYgjxTpkDtrKN4KWiZ,spotify:track:3qLZhFTjhLiPnVFzK5r8UL
15,spotify:artist:0BmK8WXQLYAnoNCX4LTLdf,spotify:track:3qLZhFTjhLiPnVFzK5r8UL
16,spotify:artist:0BmK8WXQLYAnoNCX4LTLdf,spotify:track:6SpODwwsGQ7jqqFO10RR27
17,spotify:artist:0BmK8WXQLYAnoNCX4LTLdf,spotify:track:5ncFetHluI0qYiTrG1m48x
18,spotify:artist:6eeayhLARPGeYMj8k8CHIg,spotify:track:1hCVZTG44qDXaIgBSgyvpQ
19,spotify:artist:5l1oiy2VufzI1tbdpiaoQi,spotify:track:2NpPNpDJG4g1Txp98TiRsx
20,spotify:artist:5XGMQDMtmKNgCPrQ9FqUfL,spotify:track:2bEnUKx0z0RUYBmuosBRvd
21,spotify:artist:2Np0o8All4XesC4ZMGufqI,spotify:track:4KPuDGKuBOITkxP5PrBxPU
22,spotify:artist:47gEMSfOuk4AEQbKhT0O3V,spotify:track:4KPuDGKuBOITkxP5PrBxPU
23,spotify:artist:5orR9ec1E60lLb1U76m3ul,spotify:track:4KPuDGKuBOITkxP5PrBxPU
24,spotify:artist:65ZGdYSRT3Rmv6P7DN4XCC,spotify:track:6R3CeNRk6DOdK6tBXUaJ9X
25,spotify:artist:5iMUho98faEp2w6j5p44PH,spotify:track:6R3CeNRk6DOdK6tBXUaJ9X
26,spotify:artist:49WbztFLx9iDTh8LHEIF84,spotify:track:6Y1xR0TDpxWQwmTYmkYZMt
27,spotify:artist:4kCBBWXeKXtikcTFHiQ2QW,spotify:track:1mU5tbLwcCYs64FhTTEQ4U
28,spotify:artist:0XtVN1QaB7vYRpw4qEIRt0,spotify:track:4rs3frrzpepBXoJOGGlzZQ
29,spotify:artist:572RRn7zCHjKepDAmB3gH0,spotify:track:4rs3frrzpepBXoJOGGlzZQ
30,spotify:artist:0mvxieGhMmy9gnbYGYtnI6,spotify:track:4KFcmYICCe24YbAxAWEQAW
31,spotify:artist:7daSp9zXk1dmqNxwKFkL35,spotify:track:3M8Ee7yvy2T3AnhmmR1E0j
32,spotify:artist:6qNRi3Mn9apPNnMSt6Qbvn,spotify:track:00RW0bhpba2Djqf8E65sXL
