,plays5,plays10,plays20
2015-10-01,21.05,31.58,44.36
2015-11-01,21.59,32.95,47.73
2015-12-01,55.56,100.0,100.0
2016-01-01,25.64,38.46,64.1
2016-05-01,22.91,39.95,61.1
2016-06-01,16.65,30.33,49.73
2016-07-01,5.84,9.96,15.58
2016-08-01,6.7,10.97,17.09
2016-09-01,9.5,14.88,23.14
2016-10-01,15.81,24.28,35.86
2016-11-01,26.71,43.17,54.35
2016-12-01,22.43,29.78,37.13
2017-01-01,6.74,11.44,20.23
2017-02-01,19.49,29.71,43.45
2017-03-01,10.57,14.63,22.76
2017-04-01,11.43,18.57,29.05
2017-05-01,11.25,18.73,32.3
2017-06-01,14.54,24.42,38.83
2017-07-01,8.65,15.41,24.78
2017-08-01,9.74,18.37,33.56
2017-09-01,20.04,36.76,49.95
2017-10-01,16.19,30.9,50.15
2017-11-01,11.61,16.77,24.88
2017-12-01,17.53,28.57,44.16
2018-01-01,40.65,44.73,49.32
2018-02-01,15.2,23.98,36.84
2018-03-01,17.75,27.42,39.3
2018-04-01,14.75,24.34,39.33
2018-05-01,20.56,32.71,51.09
2018-06-01,15.22,25.9,42.72
2018-07-01,11.59,18.86,31.14
2018-08-01,5.77,9.27,14.19
2018-09-01,11.68,19.13,30.16
2018-10-01,9.03,14.18,22.46
2018-11-01,14.08,21.95,33.04
2018-12-01,6.28,10.93,18.78
2019-01-01,3.08,5.23,8.89
2019-02-01,16.55,23.77,33.1
2019-03-01,8.35,12.69,20.07
2019-04-01,6.75,11.04,17.59
2019-05-01,8.69,15.69,25.4
2019-06-01,10.37,18.66,28.39
2019-07-01,6.69,12.31,22.58
2019-08-01,6.14,10.69,18.17
2019-09-01,6.38,10.84,18.17
2019-10-01,8.03,14.13,22.16
2019-11-01,7.0,10.49,15.74
2019-12-01,10.9,17.92,30.21
2020-01-01,13.84,23.03,33.89
2020-02-01,4.55,7.46,12.26
2020-03-01,8.29,14.17,24.87
2020-04-01,6.19,11.45,16.94
2020-05-01,4.4,7.51,12.34
2020-06-01,7.67,11.29,16.03
2020-07-01,4.05,6.94,11.71
2020-08-01,7.02,11.15,17.86
2020-09-01,3.62,6.2,10.72
2020-10-01,4.85,8.62,14.76
2020-11-01,4.92,9.17,16.29
2020-12-01,3.98,6.71,11.84
2021-01-01,4.55,8.54,14.59
2021-02-01,3.99,6.8,11.79
2021-03-01,5.08,9.2,15.71
2021-04-01,3.45,5.45,8.31
2021-05-01,4.21,7.53,12.42
2021-06-01,5.57,9.89,17.05
2021-07-01,2.19,4.14,7.48
2021-08-01,3.94,6.67,11.21
2021-09-01,4.35,6.52,10.3
2021-10-01,6.94,10.85,16.6
2021-11-01,7.31,12.24,19.18
2021-12-01,4.43,7.03,11.46
2022-01-01,6.81,12.25,19.79
2022-02-01,5.53,9.46,16.12
2022-03-01,4.51,7.31,11.9
2022-04-01,6.94,11.09,16.07
2022-05-01,10.61,17.39,26.42
2022-06-01,6.27,10.74,17.52
2022-07-01,7.4,12.95,20.59
2022-08-01,8.62,13.76,20.4
2022-09-01,8.11,13.29,21.5
2022-10-01,3.77,6.47,11.32
2022-11-01,9.59,14.57,21.09
2022-12-01,25.24,35.67,44.87
2023-01-01,4.57,7.62,12.2
2023-02-01,5.61,8.93,14.16
2023-03-01,7.2,10.29,14.4
2023-04-01,5.24,8.5,13.17
2023-05-01,11.46,18.27,28.17
