,master_metadata_track_name,master_metadata_album_album_name,spotify_track_uri,master_metadata_album_artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Grillz,"Hallo, wie geht's?",spotify:track:0035iPN5qiT9IKCUwcEH4e,Juicy Süß,0.109,0.729,218187,0.435,0.000285,5,0.0678,-10.946,1,0.154,109.922,4,0.716
1,Holland - Instrumental,Mikrokosmos,spotify:track:003XcXyeafgas0fF3BqxdS,257ers,0.0354,0.805,188613,0.811,0.894,11,0.151,-6.449,0,0.0573,120.984,4,0.542
2,Mr. Brightside,Hot Fuss,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,0.00121,0.352,222973,0.911,0.0,1,0.0995,-5.23,1,0.0747,148.033,4,0.236
3,Freak - VIP Remix,Freak,spotify:track:004Qri5ttYVrcZ1DmvfZwX,R3HAB,0.00627,0.756,252187,0.642,4.6e-06,0,0.0509,-4.496,1,0.0589,127.994,4,0.437
4,Supa Nova,Bitter Jane,spotify:track:004rT6Xq1OS7Db8dncwY2F,Green Assassin Dollar,0.431,0.642,84980,0.712,0.0377,5,0.382,-7.029,0,0.419,83.897,4,0.647
5,"Helden des Olymp, Teil 1: Der verschwundene Halbgott, Kapitel 4","Helden des Olymp, Teil 1: Der verschwundene Halbgott",spotify:track:0056alRbK4WCrgvC53Joch,Rick Riordan,0.24,0.715,549293,0.381,0.0,0,0.301,-15.515,1,0.939,123.789,3,0.402
6,,,spotify:track:007li59Nxy2wRsYSCagDeC,,0.874,0.709,139521,0.295,0.0357,1,0.103,-11.215,1,0.242,84.969,4,0.393
7,003,re:ups,"spotify:track:007li59Nxy2wRsYSCagDeC,spotify:track:0qcaP8mvOXhTOTlp8lmzsn",digitalluc,,,,,,,,,,,,,
8,Start It Up,Ziggy Marley,spotify:track:00B9S9I5wvMU6HGT0iVBkB,Ziggy Marley,0.157,0.659,201800,0.798,0.0,2,0.173,-2.953,1,0.0648,180.146,4,0.929
9,Nature Bump 000,Fokus,spotify:track:00DTeE4nekCTgYz1QYHXSl,invention_,0.684,0.543,184000,0.467,0.00604,4,0.351,-11.223,1,0.274,75.293,4,0.328
10,Bossa Nova Party,Coffee & Jazz,spotify:track:00ElS63p7Lh272KJySvdvP,Cafe Music BGM channel,0.799,0.612,173433,0.455,0.859,6,0.174,-14.142,0,0.0452,81.0,4,0.603
11,Wouldn't It Be Good,Human Racing,spotify:track:00FDHurakzVEiPutdUxXXq,Nik Kershaw,0.169,0.655,277053,0.705,0.0139,2,0.0698,-8.529,0,0.0285,97.007,4,0.749
12,Stick Together,Forgetting This,spotify:track:00IO2m0XxxDJ2ncBUvEvBR,Elijah N,0.0176,0.781,195000,0.733,0.000458,1,0.143,-6.143,0,0.0412,111.993,4,0.319
