uri,genre_id
spotify:artist:26dSoYclwsYLMAKD3tpOr4,dance pop
spotify:artist:26dSoYclwsYLMAKD3tpOr4,pop
spotify:artist:1yxSLGMDHlW21z4YXirZDS,dance pop
spotify:artist:1yxSLGMDHlW21z4YXirZDS,pop
spotify:artist:1yxSLGMDHlW21z4YXirZDS,pop rap
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,pop
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,barbadian pop
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,urban contemporary
spotify:artist:6vWDO969PvNqNYHIOW5v0m,pop
spotify:artist:6vWDO969PvNqNYHIOW5v0m,r&b
spotify:artist:7rZNSLWMjTbwdLNskFbzFf,dance pop
spotify:artist:7rZNSLWMjTbwdLNskFbzFf,europop
spotify:artist:7rZNSLWMjTbwdLNskFbzFf,girl group
spotify:artist:7rZNSLWMjTbwdLNskFbzFf,talent show
spotify:artist:3Isy6kedDrgPYoTS1dazA9,dance pop
spotify:artist:3Isy6kedDrgPYoTS1dazA9,pop
spotify:artist:3Isy6kedDrgPYoTS1dazA9,pop rap
spotify:artist:3Isy6kedDrgPYoTS1dazA9,dancehall
spotify:artist:5YGY8feqx7naU7z4HrwZM6,pop
spotify:artist:3r17AfJCCUqC9Lf0OAc73G,dance pop
spotify:artist:3r17AfJCCUqC9Lf0OAc73G,pop
spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,dance pop
spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,pop rap
spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,atl hip hop
spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,dirty south rap
spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,hip hop
spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,old school atlanta hip hop
spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,rap
spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,southern hip hop
spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,trap
spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,dance pop
spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,pop
spotify:artist:7xTKLpo7UCzXSnlH7fOIoM,east coast hip hop
spotify:artist:7xTKLpo7UCzXSnlH7fOIoM,hardcore hip hop
spotify:artist:7xTKLpo7UCzXSnlH7fOIoM,new jersey rap
spotify:artist:7xTKLpo7UCzXSnlH7fOIoM,wu fam
spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,dance pop
spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,pop
spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,urban contemporary
spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,r&b
spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,girl group
spotify:artist:0IF46mUS8NXjgHabxk2MCM,dance pop
spotify:artist:0IF46mUS8NXjgHabxk2MCM,urban contemporary
spotify:artist:0IF46mUS8NXjgHabxk2MCM,hip pop
spotify:artist:0IF46mUS8NXjgHabxk2MCM,neo soul
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,hip hop
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,rap
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,chicago rap
spotify:artist:7LnaAXbDVIL75IVPnndf7w,pop rap
spotify:artist:7LnaAXbDVIL75IVPnndf7w,urban contemporary
spotify:artist:7LnaAXbDVIL75IVPnndf7w,r&b
spotify:artist:7LnaAXbDVIL75IVPnndf7w,southern hip hop
spotify:artist:7LnaAXbDVIL75IVPnndf7w,trap
spotify:artist:7LnaAXbDVIL75IVPnndf7w,hip pop
spotify:artist:7LnaAXbDVIL75IVPnndf7w,contemporary r&b
spotify:artist:6jJ0s89eD6GaHleKKya26X,pop
spotify:artist:3K2zB87GZv1krx031en5VA,alternative dance
spotify:artist:3K2zB87GZv1krx031en5VA,electropop
spotify:artist:3K2zB87GZv1krx031en5VA,indietronica
spotify:artist:3K2zB87GZv1krx031en5VA,neo-synthpop
spotify:artist:31TPClRtHm23RisEBtV3X7,dance pop
spotify:artist:31TPClRtHm23RisEBtV3X7,pop
spotify:artist:6GMYJwaziB4ekv1Y6wCDWS,dance pop
spotify:artist:6GMYJwaziB4ekv1Y6wCDWS,pop rap
spotify:artist:6GMYJwaziB4ekv1Y6wCDWS,atl hip hop
spotify:artist:6GMYJwaziB4ekv1Y6wCDWS,rap
spotify:artist:6GMYJwaziB4ekv1Y6wCDWS,southern hip hop
spotify:artist:6GMYJwaziB4ekv1Y6wCDWS,trap
spotify:artist:6GMYJwaziB4ekv1Y6wCDWS,chicago bop
spotify:artist:4p07QU02SrLsaORo25h2Lg,urban contemporary
spotify:artist:4p07QU02SrLsaORo25h2Lg,r&b
spotify:artist:4p07QU02SrLsaORo25h2Lg,hip pop
spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,edm
spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,electro house
spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,house
spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,pop dance
spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,progressive electro house
spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,progressive house
spotify:artist:1HY2Jd0NmPuamShAr6KMms,dance pop
spotify:artist:1HY2Jd0NmPuamShAr6KMms,pop
spotify:artist:1HY2Jd0NmPuamShAr6KMms,art pop
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,pop rap
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,urban contemporary
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,r&b
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,southern hip hop
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,trap
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,chicago rap
spotify:artist:2jw70GZXlAI8QzWeY2bgRc,dance pop
spotify:artist:2jw70GZXlAI8QzWeY2bgRc,pop
spotify:artist:2jw70GZXlAI8QzWeY2bgRc,canadian latin
spotify:artist:2jw70GZXlAI8QzWeY2bgRc,canadian pop
spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,alternative dance
spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,neo-synthpop
spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,art pop
spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,alternative rock
spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,dance-punk
spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,garage rock
spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,indie rock
spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,modern rock
spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,new rave
spotify:artist:2wIVse2owClT7go1WT98tk,dance pop
spotify:artist:2wIVse2owClT7go1WT98tk,pop rap
spotify:artist:2wIVse2owClT7go1WT98tk,urban contemporary
spotify:artist:2wIVse2owClT7go1WT98tk,r&b
spotify:artist:2wIVse2owClT7go1WT98tk,hip hop
spotify:artist:2wIVse2owClT7go1WT98tk,rap
spotify:artist:2wIVse2owClT7go1WT98tk,hip pop
spotify:artist:2wIVse2owClT7go1WT98tk,neo soul
spotify:artist:2wIVse2owClT7go1WT98tk,virginia hip hop
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,dance pop
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,pop
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,edm
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,pop dance
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,big room
spotify:artist:3AuMNF8rQAKOzjYppFNAoB,dance pop
spotify:artist:3AuMNF8rQAKOzjYppFNAoB,urban contemporary
spotify:artist:3AuMNF8rQAKOzjYppFNAoB,r&b
spotify:artist:3AuMNF8rQAKOzjYppFNAoB,atl hip hop
spotify:artist:3AuMNF8rQAKOzjYppFNAoB,hip pop
spotify:artist:3Mcii5XWf6E0lrY3Uky4cA,hip hop
spotify:artist:3Mcii5XWf6E0lrY3Uky4cA,rap
spotify:artist:3Mcii5XWf6E0lrY3Uky4cA,conscious hip hop
spotify:artist:3Mcii5XWf6E0lrY3Uky4cA,g funk
spotify:artist:3Mcii5XWf6E0lrY3Uky4cA,gangster rap
spotify:artist:3Mcii5XWf6E0lrY3Uky4cA,west coast rap
spotify:artist:3USpNaxpX1iNqNnQWqg9ob,g funk
spotify:artist:3USpNaxpX1iNqNnQWqg9ob,gangster rap
spotify:artist:3USpNaxpX1iNqNnQWqg9ob,west coast rap
spotify:artist:5h6zIU8cm6UzAaHsjXmNKl,chicago rap
spotify:artist:12Kgt2eahvxNWhD5PnSUde,gospel
spotify:artist:12Kgt2eahvxNWhD5PnSUde,gospel r&b
spotify:artist:4yiQZ8tQPux8cPriYMWUFP,dance pop
spotify:artist:4yiQZ8tQPux8cPriYMWUFP,pop
spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,pop rap
spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,hip hop
spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,rap
spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,east coast hip hop
spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,gangster rap
spotify:artist:3DiDSECUqqY1AuBP8qtaIa,pop
spotify:artist:3DiDSECUqqY1AuBP8qtaIa,r&b
spotify:artist:3DiDSECUqqY1AuBP8qtaIa,neo soul
spotify:artist:4d3yvTptO48nOYTPBcPFZC,dance pop
spotify:artist:4d3yvTptO48nOYTPBcPFZC,urban contemporary
spotify:artist:4d3yvTptO48nOYTPBcPFZC,r&b
spotify:artist:4d3yvTptO48nOYTPBcPFZC,hip pop
spotify:artist:4d3yvTptO48nOYTPBcPFZC,contemporary r&b
spotify:artist:4d3yvTptO48nOYTPBcPFZC,philly rap
spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,electro
spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,filter house
spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,rock
spotify:artist:4ME85YvMUi1hdqhbind7gy,acid house
spotify:artist:25sJFKMqDENdsTF7zRXoif,german dance
spotify:artist:4L8MIM7AXmq6jb0tRix4JT,2-step
spotify:artist:4L8MIM7AXmq6jb0tRix4JT,uk garage
spotify:artist:1NmCD7ZZqEs7Dfp6fSZkZ0,uk garage
spotify:artist:0EmeFodog0BfCgMzAIvKQp,dance pop
spotify:artist:0EmeFodog0BfCgMzAIvKQp,pop
spotify:artist:0EmeFodog0BfCgMzAIvKQp,colombian pop
spotify:artist:0EmeFodog0BfCgMzAIvKQp,latin pop
spotify:artist:3ScY9CQxNLQei8Umvpx5g6,pop rap
spotify:artist:3ScY9CQxNLQei8Umvpx5g6,hip hop
spotify:artist:3ScY9CQxNLQei8Umvpx5g6,rap
spotify:artist:3ScY9CQxNLQei8Umvpx5g6,trap
spotify:artist:3ScY9CQxNLQei8Umvpx5g6,east coast hip hop
spotify:artist:3ScY9CQxNLQei8Umvpx5g6,hardcore hip hop
spotify:artist:3ScY9CQxNLQei8Umvpx5g6,gangster rap
spotify:artist:3ScY9CQxNLQei8Umvpx5g6,bronx hip hop
spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,dance pop
spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,pop rap
spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,urban contemporary
spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,hip hop
spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,rap
spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,east coast hip hop
spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,hip pop
spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,gangster rap
spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,queens hip hop
spotify:artist:5rkVyNGXEgeUqKkB5ccK83,dance pop
spotify:artist:5rkVyNGXEgeUqKkB5ccK83,urban contemporary
spotify:artist:5rkVyNGXEgeUqKkB5ccK83,r&b
spotify:artist:5rkVyNGXEgeUqKkB5ccK83,hip pop
spotify:artist:3AA28KZvwAUcZuOKwyblJQ,modern rock
spotify:artist:3AA28KZvwAUcZuOKwyblJQ,rock
spotify:artist:3AA28KZvwAUcZuOKwyblJQ,alternative hip hop
spotify:artist:1U1el3k54VvEUzo3ybLPlM,colombian pop
spotify:artist:22099GssG7Ood0d5UIh2wo,dancehall
spotify:artist:22099GssG7Ood0d5UIh2wo,reggae fusion
spotify:artist:2feDdbD5araYcm6JhFHHw7,pop
spotify:artist:2feDdbD5araYcm6JhFHHw7,indie poptimism
spotify:artist:6sCbFbEjbYepqswM1vWjjs,pop
spotify:artist:6sCbFbEjbYepqswM1vWjjs,post-teen pop
spotify:artist:26s8LSolLfCIY88ysQbIuT,dirty south rap
spotify:artist:26s8LSolLfCIY88ysQbIuT,southern hip hop
spotify:artist:26s8LSolLfCIY88ysQbIuT,trap
spotify:artist:26s8LSolLfCIY88ysQbIuT,gangster rap
spotify:artist:26s8LSolLfCIY88ysQbIuT,crunk
spotify:artist:26s8LSolLfCIY88ysQbIuT,memphis hip hop
spotify:artist:26s8LSolLfCIY88ysQbIuT,tennessee hip hop
spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,dance pop
spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,pop
spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,girl group
spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,dance pop
spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,pop
spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,pop rap
spotify:artist:2NUz5P42WqkxilbI8ocN76,dancehall
spotify:artist:2NUz5P42WqkxilbI8ocN76,reggae fusion
spotify:artist:2NUz5P42WqkxilbI8ocN76,jamaican dancehall
spotify:artist:0z4gvV4rjIZ9wHck67ucSV,dance pop
spotify:artist:7xNPROyVfkH4mcIxxCxySm,danish pop
spotify:artist:4RVnAU35WRWra6OZ3CbbMA,dance pop
spotify:artist:4RVnAU35WRWra6OZ3CbbMA,australian dance
spotify:artist:4RVnAU35WRWra6OZ3CbbMA,australian pop
spotify:artist:4RVnAU35WRWra6OZ3CbbMA,eurodance
spotify:artist:4RVnAU35WRWra6OZ3CbbMA,new wave pop
spotify:artist:4STHEaNw4mPZ2tzheohgXB,rock
spotify:artist:4STHEaNw4mPZ2tzheohgXB,classic rock
spotify:artist:4STHEaNw4mPZ2tzheohgXB,mellow gold
spotify:artist:4STHEaNw4mPZ2tzheohgXB,soft rock
spotify:artist:6QEKXJs8gQCiyBq5L8knco,classic uk pop
spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,alt z
spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,nz pop
spotify:artist:64H8UqGLbJFHwKtGxiV8OP,modern alternative pop
spotify:artist:3rWZHrfrsPBxVy692yAIxF,pop
spotify:artist:3rWZHrfrsPBxVy692yAIxF,post-teen pop
spotify:artist:3rWZHrfrsPBxVy692yAIxF,afrofuturism
spotify:artist:3rWZHrfrsPBxVy692yAIxF,pov: indie
spotify:artist:1xoxekeb8jUVHKJB7m6bfg,bedroom soul
spotify:artist:3nDNDLcZuSto4k9u4AbcLB,german hip hop
spotify:artist:3nDNDLcZuSto4k9u4AbcLB,german pop
spotify:artist:7e52Ytzjj1q71DUj2cSlch,german pop
spotify:artist:7aBzpmFXB4WWpPl2F7RjBe,rap kreyol
spotify:artist:011bJBtG8SdkBqBiSpBllF,german pop
spotify:artist:0lFLP59V4TY3XgnrkFIwxK,german pop
spotify:artist:0lFLP59V4TY3XgnrkFIwxK,frauenrap
spotify:artist:0lFLP59V4TY3XgnrkFIwxK,german viral rap
spotify:artist:2urF8dgLVfDjunO0pcHUEe,latin pop
spotify:artist:3pjq2pDV9RR6VY55wBjVnp,german hip hop
spotify:artist:3pjq2pDV9RR6VY55wBjVnp,albanian hip hop
spotify:artist:3utZ2yeQk0Z3BCOBWP7Vlu,german hip hop
spotify:artist:3LPEGy5eAGPgKYJVrkRuSX,german hip hop
spotify:artist:3LPEGy5eAGPgKYJVrkRuSX,german cloud rap
spotify:artist:3LPEGy5eAGPgKYJVrkRuSX,german trap
spotify:artist:65AzRSW0jKSs0WtttEXrOw,german hip hop
spotify:artist:65AzRSW0jKSs0WtttEXrOw,german pop
spotify:artist:65AzRSW0jKSs0WtttEXrOw,frauenrap
spotify:artist:65AzRSW0jKSs0WtttEXrOw,german singer-songwriter
spotify:artist:2f7f3AmL16mmiAmYnxmmfx,german pop
spotify:artist:2f7f3AmL16mmiAmYnxmmfx,german indie folk
spotify:artist:60pVmLS5zlt31OWk340O3U,german hip hop
spotify:artist:7BSNHln0lSqyDHdQ3sv0Q5,german hip hop
spotify:artist:7BSNHln0lSqyDHdQ3sv0Q5,german alternative rap
spotify:artist:7BSNHln0lSqyDHdQ3sv0Q5,hamburg hip hop
spotify:artist:6B2K7K0JJ0U2AEJLhtOxTF,talentschau
spotify:artist:0TnOYISbd1XYRBk9myaseg,dance pop
spotify:artist:0TnOYISbd1XYRBk9myaseg,pop
spotify:artist:0TnOYISbd1XYRBk9myaseg,miami hip hop
spotify:artist:63wjoROpeh5f11Qm93UiJ1,dance pop
spotify:artist:63wjoROpeh5f11Qm93UiJ1,urban contemporary
spotify:artist:63wjoROpeh5f11Qm93UiJ1,r&b
spotify:artist:63wjoROpeh5f11Qm93UiJ1,hip pop
spotify:artist:2qDdxfKUpYg8wc49KIuT3b,alternative r&b
spotify:artist:2qDdxfKUpYg8wc49KIuT3b,bc underground hip hop
spotify:artist:2qDdxfKUpYg8wc49KIuT3b,canadian hip hop
spotify:artist:2qDdxfKUpYg8wc49KIuT3b,canadian trap
spotify:artist:2qDdxfKUpYg8wc49KIuT3b,escape room
spotify:artist:2qDdxfKUpYg8wc49KIuT3b,trap queen
spotify:artist:4qUoZ6ErhTYFhAI0W1iI9q,hyperpop
spotify:artist:4qUoZ6ErhTYFhAI0W1iI9q,sped up
spotify:artist:3GQboECxDT1xqPPWC30p7v,alternative r&b
spotify:artist:3GQboECxDT1xqPPWC30p7v,canadian contemporary r&b
spotify:artist:3GQboECxDT1xqPPWC30p7v,indie soul
spotify:artist:2uYWxilOVlUdk4oV9DvwqK,pov: indie
spotify:artist:2uYWxilOVlUdk4oV9DvwqK,brooklyn indie
spotify:artist:3PyJHH2wyfQK3WZrk9rpmP,alt z
spotify:artist:3PyJHH2wyfQK3WZrk9rpmP,escape room
spotify:artist:3IJ21966TwNZI24MwZHMu4,trap queen
spotify:artist:5he5w2lnU9x7JFhnwcekXX,edm
spotify:artist:5he5w2lnU9x7JFhnwcekXX,pop dance
spotify:artist:5he5w2lnU9x7JFhnwcekXX,electro
spotify:artist:5he5w2lnU9x7JFhnwcekXX,brostep
spotify:artist:5he5w2lnU9x7JFhnwcekXX,complextro
spotify:artist:1sBkRIssrMs1AbVkOJbc7a,dirty south rap
spotify:artist:1sBkRIssrMs1AbVkOJbc7a,hip hop
spotify:artist:1sBkRIssrMs1AbVkOJbc7a,rap
spotify:artist:1sBkRIssrMs1AbVkOJbc7a,southern hip hop
spotify:artist:1sBkRIssrMs1AbVkOJbc7a,trap
spotify:artist:1sBkRIssrMs1AbVkOJbc7a,gangster rap
spotify:artist:2y8GmZ4zTMAEd5OuenMZdX,dark trap
spotify:artist:26LmKYZRstUUMu2LC2xen9,dark trap
spotify:artist:26LmKYZRstUUMu2LC2xen9,scream rap
spotify:artist:0KpCz7V5XRkqKuM1JDf56O,boston hip hop
spotify:artist:0KpCz7V5XRkqKuM1JDf56O,underground hip hop
spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,dance pop
spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,pop
spotify:artist:6veh5zbFpm31XsPdjBgPER,trap queen
spotify:artist:6veh5zbFpm31XsPdjBgPER,rap latina
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,pop
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,rap
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,hip pop
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,queens hip hop
spotify:artist:2NdeV5rLm47xAvogXrYhJX,dance pop
spotify:artist:2NdeV5rLm47xAvogXrYhJX,pop
spotify:artist:2NdeV5rLm47xAvogXrYhJX,urban contemporary
spotify:artist:2NdeV5rLm47xAvogXrYhJX,r&b
spotify:artist:2NdeV5rLm47xAvogXrYhJX,hip pop
spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,lgbtq+ hip hop
spotify:artist:2LIk90788K0zvyj2JJVwkJ,pop rap
spotify:artist:2LIk90788K0zvyj2JJVwkJ,rap
spotify:artist:2LIk90788K0zvyj2JJVwkJ,deep underground hip hop
spotify:artist:2LIk90788K0zvyj2JJVwkJ,kentucky hip hop
spotify:artist:5dHt1vcEm9qb8fCyLcB3HL,pop rap
spotify:artist:5dHt1vcEm9qb8fCyLcB3HL,hip hop
spotify:artist:5dHt1vcEm9qb8fCyLcB3HL,rap
spotify:artist:5dHt1vcEm9qb8fCyLcB3HL,southern hip hop
spotify:artist:5dHt1vcEm9qb8fCyLcB3HL,trap
spotify:artist:4r63FhuTkUYltbVAg5TQnk,pop rap
spotify:artist:4r63FhuTkUYltbVAg5TQnk,hip hop
spotify:artist:4r63FhuTkUYltbVAg5TQnk,rap
spotify:artist:4r63FhuTkUYltbVAg5TQnk,trap
spotify:artist:4r63FhuTkUYltbVAg5TQnk,north carolina hip hop
spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW,pop rap
spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW,atl hip hop
spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW,hip hop
spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW,rap
spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW,trap
spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,rap
spotify:artist:5tth2a3v0sWwV1C7bApBdX,dance pop
spotify:artist:5tth2a3v0sWwV1C7bApBdX,pop rap
spotify:artist:5tth2a3v0sWwV1C7bApBdX,urban contemporary
spotify:artist:5tth2a3v0sWwV1C7bApBdX,r&b
spotify:artist:5tth2a3v0sWwV1C7bApBdX,hip hop
spotify:artist:5tth2a3v0sWwV1C7bApBdX,rap
spotify:artist:5tth2a3v0sWwV1C7bApBdX,southern hip hop
spotify:artist:5tth2a3v0sWwV1C7bApBdX,east coast hip hop
spotify:artist:5tth2a3v0sWwV1C7bApBdX,hip pop
spotify:artist:5tth2a3v0sWwV1C7bApBdX,trap queen
spotify:artist:6lHL3ubAMgSasKjNqKb8HF,urban contemporary
spotify:artist:6lHL3ubAMgSasKjNqKb8HF,r&b
spotify:artist:6lHL3ubAMgSasKjNqKb8HF,hip pop
spotify:artist:6lHL3ubAMgSasKjNqKb8HF,contemporary r&b
spotify:artist:1KCSPY1glIKqW2TotWuXOR,dance pop
spotify:artist:1KCSPY1glIKqW2TotWuXOR,pop
spotify:artist:5sWHDYs0csV6RS48xBl0tH,modern rock
spotify:artist:5sWHDYs0csV6RS48xBl0tH,indie poptimism
spotify:artist:0yb46jwm7gqbZXVXZQ8Z1e,modern alternative rock
spotify:artist:1EhnxoXhj5r5DJ6lIWrAQe,pop r&b
spotify:artist:0oAK0DvKNnuXm1TQdhDEOv,slowed and reverb
spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,pop
spotify:artist:5RCWMaArEntbkeWYVxCiFW,modern blues rock
spotify:artist:7gSjFKpVmDgC2MMsnN8CYq,urban contemporary
spotify:artist:7gSjFKpVmDgC2MMsnN8CYq,r&b
spotify:artist:7gSjFKpVmDgC2MMsnN8CYq,hip pop
spotify:artist:7gSjFKpVmDgC2MMsnN8CYq,neo soul
spotify:artist:2cWZOOzeOm4WmBJRnD5R7I,pop
spotify:artist:2cWZOOzeOm4WmBJRnD5R7I,r&b
spotify:artist:4kYSro6naA4h99UJvo89HB,pop
spotify:artist:4kYSro6naA4h99UJvo89HB,rap
spotify:artist:0CkbPVBpOwwz9NPPglFKyq,alternative r&b
spotify:artist:0CkbPVBpOwwz9NPPglFKyq,electra
spotify:artist:0CkbPVBpOwwz9NPPglFKyq,uk contemporary r&b
spotify:artist:5MspMQqdVbdwP6ax3GXqum,new wave pop
spotify:artist:5MspMQqdVbdwP6ax3GXqum,soft rock
spotify:artist:5MspMQqdVbdwP6ax3GXqum,new romantic
spotify:artist:5MspMQqdVbdwP6ax3GXqum,new wave
spotify:artist:5MspMQqdVbdwP6ax3GXqum,singer-songwriter
spotify:artist:5MspMQqdVbdwP6ax3GXqum,synthpop
spotify:artist:6cK3NBO6uP7hh0oyuVELFl,trap queen
spotify:artist:6cK3NBO6uP7hh0oyuVELFl,cali rap
spotify:artist:2EcDZA7LVlXzUhOqYzhNGK,bedroom soul
spotify:artist:7bXgB6jMjp9ATFy66eO08Z,r&b
spotify:artist:7bXgB6jMjp9ATFy66eO08Z,rap
spotify:artist:1Xfmvd48oOhEWkscWyEbh9,urban contemporary
spotify:artist:1Xfmvd48oOhEWkscWyEbh9,r&b
spotify:artist:1Xfmvd48oOhEWkscWyEbh9,southern hip hop
spotify:artist:1Xfmvd48oOhEWkscWyEbh9,trap
spotify:artist:1Xfmvd48oOhEWkscWyEbh9,hip pop
spotify:artist:5P2rwRBgIN450RaJxdjYdA,canadian old school hip hop
spotify:artist:73Tg5BxH6c3D3C6qIrkrmB,talent show
spotify:artist:73Tg5BxH6c3D3C6qIrkrmB,pop r&b
spotify:artist:73Tg5BxH6c3D3C6qIrkrmB,slow game
spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,atl hip hop
spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,hip hop
spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,rap
spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,southern hip hop
spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,trap
spotify:artist:5u7IvRoGPTFjHhP7iLJdEe,high vibe
spotify:artist:30DhU7BDmF4PH0JVhu8ZRg,r&b
spotify:artist:1mKtlPrXjWK6oIdk9cSOjs,alternative r&b
spotify:artist:360IAlyVv4PCEVjgyMZrxK,urban contemporary
spotify:artist:360IAlyVv4PCEVjgyMZrxK,r&b
spotify:artist:55Aa2cqylxrFIXC767Z865,pop rap
spotify:artist:55Aa2cqylxrFIXC767Z865,hip hop
spotify:artist:55Aa2cqylxrFIXC767Z865,rap
spotify:artist:55Aa2cqylxrFIXC767Z865,trap
spotify:artist:55Aa2cqylxrFIXC767Z865,new orleans rap
spotify:artist:21UPYSRWFKwtqvSAnFnSvS,alternative r&b
spotify:artist:21UPYSRWFKwtqvSAnFnSvS,afro r&b
spotify:artist:21UPYSRWFKwtqvSAnFnSvS,afrobeats
spotify:artist:21UPYSRWFKwtqvSAnFnSvS,ghanaian alternative
spotify:artist:21UPYSRWFKwtqvSAnFnSvS,ghanaian pop
spotify:artist:2hVWBpjLW4Q7fboYz2pVYK,ghanaian alternative
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,pop
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,canadian pop
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b
spotify:artist:2gsggkzM5R49q6jpPvazou,dance pop
