artist_uri,track_uri
spotify:artist:26dSoYclwsYLMAKD3tpOr4,spotify:track:4fixebDZAVToLbUCuEloa2
spotify:artist:1yxSLGMDHlW21z4YXirZDS,spotify:track:3oDFtOhcN08qeDPAK6MEQG
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,spotify:track:4Tn2llBm1g0UlWctmgPL8Z
spotify:artist:6vWDO969PvNqNYHIOW5v0m,spotify:track:6Q8ljVgg7kR0R5v2aOXHlg
spotify:artist:7rZNSLWMjTbwdLNskFbzFf,spotify:track:1ctdfJSzp6qF2iDAVdDrfl
spotify:artist:3Isy6kedDrgPYoTS1dazA9,spotify:track:6dF5QhnUT1pjG0mDCbEYVf
spotify:artist:6vWDO969PvNqNYHIOW5v0m,spotify:track:6dF5QhnUT1pjG0mDCbEYVf
spotify:artist:5YGY8feqx7naU7z4HrwZM6,spotify:track:3E7dfMvvCLUddWissuqMwr
spotify:artist:1yxSLGMDHlW21z4YXirZDS,spotify:track:4kLLWz7srcuLKA7Et40PQR
spotify:artist:7rZNSLWMjTbwdLNskFbzFf,spotify:track:3EDS89HeAhHiZKlljciK0a
spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,spotify:track:59ZTxQo8rBycIXPLUIKvE2
spotify:artist:7xTKLpo7UCzXSnlH7fOIoM,spotify:track:59ZTxQo8rBycIXPLUIKvE2
spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,spotify:track:09mkdGhqb5ySKVsnkx9hy2
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ
spotify:artist:7LnaAXbDVIL75IVPnndf7w,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ
spotify:artist:6jJ0s89eD6GaHleKKya26X,spotify:track:455AfCsOhhLPRc68sE01D8
spotify:artist:6vWDO969PvNqNYHIOW5v0m,spotify:track:5mMjkxGijQB4JZallYrkOW
spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,spotify:track:7qtAgn9mwxygsPOsUDVRRt
spotify:artist:6GMYJwaziB4ekv1Y6wCDWS,spotify:track:0KvWitOwZB3cc5ldWRu70T
spotify:artist:4p07QU02SrLsaORo25h2Lg,spotify:track:0KvWitOwZB3cc5ldWRu70T
spotify:artist:6jJ0s89eD6GaHleKKya26X,spotify:track:14iN3o8ptQ8cFVZTEmyQRV
