artist_name,artist_uri,genres
Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4,
Black Eyed Peas,spotify:artist:1yxSLGMDHlW21z4YXirZDS,
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,
Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,
Sugababes,spotify:artist:7rZNSLWMjTbwdLNskFbzFf,
Sean Paul,spotify:artist:3Isy6kedDrgPYoTS1dazA9,
Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6,
Christina Aguilera,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,
Redman,spotify:artist:7xTKLpo7UCzXSnlH7fOIoM,
Destiny's Child,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,
Jamie Foxx,spotify:artist:7LnaAXbDVIL75IVPnndf7w,
Katy Perry,spotify:artist:6jJ0s89eD6GaHleKKya26X,
Soulja Boy,spotify:artist:6GMYJwaziB4ekv1Y6wCDWS,
Sammie,spotify:artist:4p07QU02SrLsaORo25h2Lg,
Eric Prydz,spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,
Jeremih,spotify:artist:3KV3p5EY4AvKxOlhGHORLg,
Nelly Furtado,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,
Yeah Yeah Yeahs,spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,
Missy Elliott,spotify:artist:2wIVse2owClT7go1WT98tk,
David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,
Kelly Rowland,spotify:artist:3AuMNF8rQAKOzjYppFNAoB,
Ice Cube,spotify:artist:3Mcii5XWf6E0lrY3Uky4cA,
Mack 10,spotify:artist:3USpNaxpX1iNqNnQWqg9ob,
Ms. Toi,spotify:artist:5h6zIU8cm6UzAaHsjXmNKl,
Mary Mary,spotify:artist:12Kgt2eahvxNWhD5PnSUde,
Gwen Stefani,spotify:artist:4yiQZ8tQPux8cPriYMWUFP,
JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,
Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,
Eve,spotify:artist:4d3yvTptO48nOYTPBcPFZC,
Stevie J,spotify:artist:09A1kpyGbzYAPb8cEvee64,
Daft Punk,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,
Guru Josh Project,spotify:artist:4ME85YvMUi1hdqhbind7gy,
Klaas,spotify:artist:25sJFKMqDENdsTF7zRXoif,
Artful Dodger,spotify:artist:4L8MIM7AXmq6jb0tRix4JT,
Romina Johnson,spotify:artist:1NmCD7ZZqEs7Dfp6fSZkZ0,
Fat Joe,spotify:artist:3ScY9CQxNLQei8Umvpx5g6,
Ja Rule,spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,
Ashanti,spotify:artist:5rkVyNGXEgeUqKkB5ccK83,
Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,
Kali Uchis,spotify:artist:1U1el3k54VvEUzo3ybLPlM,
Labrinth,spotify:artist:2feDdbD5araYcm6JhFHHw7,
Zendaya,spotify:artist:6sCbFbEjbYepqswM1vWjjs,
Three 6 Mafia,spotify:artist:26s8LSolLfCIY88ysQbIuT,
The Pussycat Dolls,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,
Timbaland,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,
Vybz Kartel,spotify:artist:2NUz5P42WqkxilbI8ocN76,
Akon,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,
Junior Senior,spotify:artist:7xNPROyVfkH4mcIxxCxySm,
Kylie Minogue,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,
Paul McCartney,spotify:artist:4STHEaNw4mPZ2tzheohgXB,
