acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.073,0.724,224400,0.695,0.0,11,0.0889,-5.226,1,0.0622,139.0,4,0.235
0.13,0.866,251440,0.857,0.0017,9,0.13,-5.894,1,0.0664,130.049,4,0.408
0.00101,0.734,212280,0.826,0.129,1,0.197,-4.909,1,0.0349,132.96,4,0.74
0.0895,0.694,208067,0.825,1.86e-05,1,0.0618,-5.986,1,0.111,121.949,4,0.788
6.52e-05,0.584,212400,0.699,6.05e-05,1,0.486,-6.065,0,0.0378,82.499,4,0.585
0.0881,0.688,244867,0.478,2.47e-06,1,0.357,-9.142,1,0.231,91.047,4,0.774
0.00112,0.652,202067,0.698,0.000115,10,0.0886,-4.667,0,0.042,96.021,4,0.47
0.301,0.81,246600,0.76,0.0,0,0.103,-6.447,1,0.232,130.991,4,0.56
0.0873,0.744,289133,0.766,0.0,0,0.509,-6.375,1,0.0265,127.966,4,0.61
0.0485,0.962,218093,0.66,0.0,8,0.076,-5.096,1,0.061,126.016,4,0.814
0.107,0.64,298853,0.889,0.0,2,0.339,-3.073,1,0.322,99.931,4,0.436
0.00247,0.835,207733,0.833,0.0,1,0.171,-4.364,0,0.284,103.358,4,0.586
0.00971,0.881,182627,0.774,0.0346,1,0.206,-6.068,1,0.0439,112.968,4,0.759
0.0195,0.629,207627,0.696,0.0,1,0.0554,-5.572,0,0.348,93.034,4,0.623
0.00125,0.649,230747,0.814,4.29e-05,3,0.671,-3.796,0,0.0416,126.031,4,0.764
0.0383,0.426,193213,0.584,0.0,1,0.188,-5.293,1,0.296,193.437,4,0.272
0.000441,0.674,205733,0.882,6.62e-05,3,0.068,-2.771,0,0.0477,123.017,4,0.682
0.0533,0.524,254040,0.904,0.0,8,0.776,-2.071,1,0.398,161.188,4,0.655
0.201,0.892,267267,0.714,0.000234,4,0.0521,-6.055,0,0.141,100.972,4,0.817
0.0188,0.758,193387,0.712,0.0,7,0.0677,-3.781,1,0.112,150.001,4,0.794
0.00226,0.702,179640,0.76,0.0,5,0.132,-3.174,1,0.0684,129.996,4,0.696
0.000563,0.605,157432,0.874,0.812,7,0.112,-4.949,0,0.0295,125.99,4,0.836
0.119,0.851,237200,0.806,1.72e-06,4,0.121,-4.618,1,0.0787,119.001,4,0.774
0.297,0.679,226507,0.522,0.0,7,0.15,-5.603,0,0.0427,60.014,4,0.445
0.0469,0.871,223080,0.871,0.00114,1,0.0543,-6.328,1,0.139,116.946,4,0.811
0.000187,0.562,221000,0.903,0.0939,8,0.298,-4.46,0,0.0296,132.009,4,0.791
0.00474,0.798,284373,0.629,2.29e-05,11,0.324,-6.857,0,0.0735,130.002,4,0.4
0.0778,0.884,263227,0.677,0.0,1,0.0732,-5.603,1,0.283,101.868,4,0.584
0.0144,0.658,189000,0.863,0.000193,11,0.2,-4.64,1,0.0255,129.972,4,0.496
0.00084,0.946,259307,0.837,0.0,1,0.0482,-5.355,0,0.164,99.881,4,0.893
0.0343,0.779,198347,0.834,0.0,7,0.0886,-2.773,1,0.162,100.46,4,0.8
0.35,0.926,199853,0.916,6.01e-06,10,0.0234,-2.221,0,0.0929,110.009,4,0.904
0.0295,0.491,276920,0.956,0.0,11,0.46,-1.538,1,0.392,173.585,4,0.811
7.73e-05,0.706,220227,0.842,0.0,7,0.0688,-3.956,1,0.0417,132.032,4,0.861
0.242,0.908,230133,0.557,0.0,8,0.0709,-4.243,0,0.107,90.032,4,0.897
0.0348,0.649,235467,0.671,0.0,2,0.376,-8.49,1,0.103,122.881,4,0.533
0.000313,0.498,192294,0.862,0.00918,7,0.352,-6.02,0,0.0588,128.036,4,0.469
