master_metadata_track_name,master_metadata_album_album_name,spotify_track_uri,master_metadata_album_artist_name
Womanizer,Circus (Deluxe Version),spotify:track:4fixebDZAVToLbUCuEloa2,Britney Spears
Boom Boom Pow,THE E.N.D. (THE ENERGY NEVER DIES),spotify:track:3oDFtOhcN08qeDPAK6MEQG,Black Eyed Peas
Shut Up And Drive,Good Girl Gone Bad: Reloaded,spotify:track:4Tn2llBm1g0UlWctmgPL8Z,Rihanna
Sweet Dreams,I AM...SASHA FIERCE,spotify:track:6Q8ljVgg7kR0R5v2aOXHlg,Beyoncé
About You Now,Change,spotify:track:1ctdfJSzp6qF2iDAVdDrfl,Sugababes
Baby Boy (feat. Beyoncé ),Dutty Rock,spotify:track:1uVfUdVv0h9MWia3tdZo5G,Sean Paul
Party In The U.S.A.,The Time Of Our Lives,spotify:track:3E7dfMvvCLUddWissuqMwr,Miley Cyrus
Glamorous,The Dutchess,spotify:track:4N0tDOF2bo9JEpSqLNlpjq,Fergie
I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),spotify:track:4kLLWz7srcuLKA7Et40PQR,Black Eyed Peas
Push The Button,Taller In More Ways,spotify:track:3EDS89HeAhHiZKlljciK0a,Sugababes
Dirrty (feat. Redman),Stripped,spotify:track:59ZTxQo8rBycIXPLUIKvE2,Christina Aguilera
Bootylicious,Survivor,spotify:track:09mkdGhqb5ySKVsnkx9hy2,Destiny's Child
Milkshake,Tasty,spotify:track:2cMTIlktg3M9mXYqCPqw1J,Kelis
Gold Digger,Late Registration,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,Kanye West
Last Friday Night (T.G.I.F.),Teenage Dream: The Complete Confection,spotify:track:455AfCsOhhLPRc68sE01D8,Katy Perry
Single Ladies (Put a Ring on It),I AM...SASHA FIERCE,spotify:track:5mMjkxGijQB4JZallYrkOW,Beyoncé
Bulletproof,La Roux,spotify:track:3kMrazSvILsgcwtidZd1Qd,La Roux
Survivor,Survivor,spotify:track:7qtAgn9mwxygsPOsUDVRRt,Destiny's Child
Rock Your Body,Justified,spotify:track:1AWQoqb9bSvzTjaLralEkT,Justin Timberlake
Kiss Me Thru The Phone,iSouljaBoyTellem,spotify:track:0KvWitOwZB3cc5ldWRu70T,Soulja Boy
I Kissed A Girl,One Of The Boys,spotify:track:14iN3o8ptQ8cFVZTEmyQRV,Katy Perry
