artist_uri,isrc
spotify:artist:4sg4no0TXdsrM1s4SVUwNF,DEVX51900045
spotify:artist:1cH0i2n6YLrWFDDemqztay,DEVX51900045
spotify:artist:3A9B6c1CrSPauiOblw7pWz,DEUM71900490
spotify:artist:1HBjj22wzbscIZ9sEb5dyf,GBUM71507621
spotify:artist:2zzpznMuhKlKlqh1ma7Sms,GBUM71507621
spotify:artist:3t5xRXzsuZmMDkQzgOX35S,DEA621701179
spotify:artist:5PlfkPxwCpRRWQJBxCa0By,DEA621701179
spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,GBAHS1600463
spotify:artist:4sg4no0TXdsrM1s4SVUwNF,DEVX51900050
spotify:artist:5y9wg9qkGBl0n9v9RzaPKu,DEA621802023
spotify:artist:3ZuBEj9ppJe8GSdKaMTfMN,DEA621802023
spotify:artist:4sg4no0TXdsrM1s4SVUwNF,DEA621802023
spotify:artist:4sg4no0TXdsrM1s4SVUwNF,DEVX51900027
spotify:artist:4sg4no0TXdsrM1s4SVUwNF,DEVX51900049
spotify:artist:4sg4no0TXdsrM1s4SVUwNF,DEVX51800001
spotify:artist:1wgIhm7dhhyPFBzSxfGR8b,DELJ81520629
spotify:artist:4sg4no0TXdsrM1s4SVUwNF,DELJ81520629
spotify:artist:4sg4no0TXdsrM1s4SVUwNF,DEVX51900054
spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L,DEQ121747363
spotify:artist:0b62itBWBdLgiecXjXCqKC,DEQ121747363
spotify:artist:5eioJDe26lOqkAMbuhzZYs,DEQ121747363
spotify:artist:1aS5tqEs9ci5P9KD9tZWa6,DEQ121747363
spotify:artist:1aS5tqEs9ci5P9KD9tZWa6,DEUM71803991
spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L,DEUM71803991
spotify:artist:1aS5tqEs9ci5P9KD9tZWa6,DETX91500279
spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L,DETX91500279
spotify:artist:1aS5tqEs9ci5P9KD9tZWa6,DETX91500281
spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L,DETX91500281
spotify:artist:0b62itBWBdLgiecXjXCqKC,DETX91500281
spotify:artist:1aS5tqEs9ci5P9KD9tZWa6,DEUM71805105
spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L,DEUM71805105
spotify:artist:5eioJDe26lOqkAMbuhzZYs,DEUM71805105
spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,GBAHS1900715
spotify:artist:1anyVhU62p31KFi8MEzkbf,GBAHS1900715
spotify:artist:21WS9wngs9AqFckK7yYJPM,GBAHS1900715
spotify:artist:73jBynjsVtofjRpdpRAJGk,BEG851900062
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,BEG851900062
spotify:artist:4VMYDCV2IEDYJArk749S6m,BEG851900062
spotify:artist:3wtMPMvPtiFylbnNXF6CAj,BEG851900062
spotify:artist:1GDbiv3spRmZ1XdM1jQbT7,BEG851900062
spotify:artist:2HkAI0YrEcgoR8QdaURqhO,BEG851900062
spotify:artist:4pwXiI7Z5ZStkgKowZyoKi,BEG851900062
spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,FR22F1701790
spotify:artist:4RSyJzf7ef6Iu2rnLdabNq,FR22F1701790
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,USUG11600976
spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,USUG11600976
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,USUG11500737
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,USUG11401323
spotify:artist:540vIaP2JwjQb9dm3aArA4,QMZSY1600015
spotify:artist:1uNFoZAHBGtllmzznpCI3s,QMZSY1600015
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,GB28K1700019
spotify:artist:1uNFoZAHBGtllmzznpCI3s,GB28K1700019
spotify:artist:1uNFoZAHBGtllmzznpCI3s,USUM71516760
spotify:artist:1HBjj22wzbscIZ9sEb5dyf,GBUM71701777
spotify:artist:5exS0bytCYdixgv02DaCm3,GBUM71701777
spotify:artist:1HBjj22wzbscIZ9sEb5dyf,GBUM71605281
spotify:artist:5KKpBU5eC2tJDzf0wmlRp2,GBUM71605281
