id,name,uri
4sg4no0TXdsrM1s4SVUwNF,Juju,spotify:artist:4sg4no0TXdsrM1s4SVUwNF
1cH0i2n6YLrWFDDemqztay,Henning May,spotify:artist:1cH0i2n6YLrWFDDemqztay
3A9B6c1CrSPauiOblw7pWz,Nico Santos,spotify:artist:3A9B6c1CrSPauiOblw7pWz
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,spotify:artist:1HBjj22wzbscIZ9sEb5dyf
2zzpznMuhKlKlqh1ma7Sms,Dakota,spotify:artist:2zzpznMuhKlKlqh1ma7Sms
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,spotify:artist:3t5xRXzsuZmMDkQzgOX35S
5PlfkPxwCpRRWQJBxCa0By,HUGEL,spotify:artist:5PlfkPxwCpRRWQJBxCa0By
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
5y9wg9qkGBl0n9v9RzaPKu,CAPO,spotify:artist:5y9wg9qkGBl0n9v9RzaPKu
3ZuBEj9ppJe8GSdKaMTfMN,Nimo,spotify:artist:3ZuBEj9ppJe8GSdKaMTfMN
1wgIhm7dhhyPFBzSxfGR8b,Said,spotify:artist:1wgIhm7dhhyPFBzSxfGR8b
0Dvx6p8JDyzeOPGmaCIH1L,RAF Camora,spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L
0b62itBWBdLgiecXjXCqKC,Maxwell,spotify:artist:0b62itBWBdLgiecXjXCqKC
5eioJDe26lOqkAMbuhzZYs,Gzuz,spotify:artist:5eioJDe26lOqkAMbuhzZYs
1aS5tqEs9ci5P9KD9tZWa6,Bonez MC,spotify:artist:1aS5tqEs9ci5P9KD9tZWa6
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf
21WS9wngs9AqFckK7yYJPM,PnB Rock,spotify:artist:21WS9wngs9AqFckK7yYJPM
