duration_ms,explicit,name,popularity,uri,orig_uri,isrc
161882,True,Vermissen (feat. Henning May),59,spotify:track:1SSzM044DUbVpYNNHWIhYJ,spotify:track:1SSzM044DUbVpYNNHWIhYJ,DEVX51900045
210685,False,Unforgettable,44,spotify:track:30f7TNgvsS1AWtyuVqMucH,spotify:track:30f7TNgvsS1AWtyuVqMucH,DEUM71900490
212424,False,Fast Car,74,spotify:track:1SN1vSPsr4V4tIUTR3s8YW,spotify:track:1SN1vSPsr4V4tIUTR3s8YW,GBUM71507621
227720,False,I Believe I'm Fine,45,spotify:track:2i3WO0WkrlnrA1I4GdUmxh,spotify:track:2i3WO0WkrlnrA1I4GdUmxh,DEA621701179
233712,False,Shape of You,84,spotify:track:7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,GBAHS1600463
145404,False,Hi Babe,57,spotify:track:6erIvryBSsAdebNU4a7Mrs,spotify:track:6erIvryBSsAdebNU4a7Mrs,DEVX51900050
317902,False,Lambo Diablo GT (feat. Nimo & Juju) - Remix,52,spotify:track:3TMW1GOB1lsmvf8er2dE8g,spotify:track:3TMW1GOB1lsmvf8er2dE8g,DEA621802023
184407,False,Hardcore High,50,spotify:track:4qX18Am6dJZg0ovgddL7w6,spotify:track:4qX18Am6dJZg0ovgddL7w6,DEVX51900027
183223,False,Sommer in Berlin,51,spotify:track:3s5AjOPcxQDdfNoT9PbBGM,spotify:track:3s5AjOPcxQDdfNoT9PbBGM,DEVX51900049
172685,False,Winter in Berlin,35,spotify:track:2QP41QIPjFWmJUuFKMIlmI,spotify:track:2QP41QIPjFWmJUuFKMIlmI,DEVX51800001
206333,False,Berliner Schnauze,38,spotify:track:16VcBBzVdwxIOIQZjVxV11,spotify:track:16VcBBzVdwxIOIQZjVxV11,DELJ81520629
167200,False,Bye Bye,46,spotify:track:4x1I379N1wSkCb8xjerNv5,spotify:track:4x1I379N1wSkCb8xjerNv5,DEVX51900054
201249,True,Kontrollieren,59,spotify:track:3bFWK3r1KQ0MEZDs3zmM58,spotify:track:3H25ywsvlV0ZT2XSpSU7wk,DEQ121747363
181971,True,500 PS,63,spotify:track:4UOXo3xWnxYdTf3sFyRaUG,spotify:track:4UOXo3xWnxYdTf3sFyRaUG,DEUM71803991
184995,True,Palmen aus Plastik,64,spotify:track:6wHRm1KR8pzVDPdmR6Qovj,spotify:track:6wHRm1KR8pzVDPdmR6Qovj,DETX91500279
188503,True,Ohne mein Team,67,spotify:track:05Mp2UJulSttxQ4E6hQPH3,spotify:track:05Mp2UJulSttxQ4E6hQPH3,DETX91500281
209231,True,Kokain,60,spotify:track:4Bj3usjRTckEJARO0dLbDf,spotify:track:4Bj3usjRTckEJARO0dLbDf,DEUM71805105
206186,True,Cross Me (feat. Chance the Rapper & PnB Rock),55,spotify:track:543bCW2ruMPmxUBWirQ3MR,spotify:track:543bCW2ruMPmxUBWirQ3MR,GBAHS1900715
