uri,genre
spotify:artist:738wLrAtLtCtFOLvQBXOXp,dance pop
spotify:artist:738wLrAtLtCtFOLvQBXOXp,edm
spotify:artist:738wLrAtLtCtFOLvQBXOXp,electro house
spotify:artist:738wLrAtLtCtFOLvQBXOXp,moombahton
spotify:artist:738wLrAtLtCtFOLvQBXOXp,pop
spotify:artist:738wLrAtLtCtFOLvQBXOXp,pop dance
spotify:artist:374sWpAJsbZckf98df2jJJ,afrobeats
spotify:artist:374sWpAJsbZckf98df2jJJ,azonto
spotify:artist:6b5YOgXIliAozdo49vUCJQ,british soul
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,dance pop
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,edm
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,pop
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,pop dance
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,big room
spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,new jersey rap
spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,pop rap
spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,rap
spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,southern hip hop
spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,trap
spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,pop
spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,pop
spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,uk pop
spotify:artist:1HBjj22wzbscIZ9sEb5dyf,pop
spotify:artist:1HBjj22wzbscIZ9sEb5dyf,pop dance
spotify:artist:1HBjj22wzbscIZ9sEb5dyf,tropical house
spotify:artist:1HBjj22wzbscIZ9sEb5dyf,uk dance
spotify:artist:1uNFoZAHBGtllmzznpCI3s,pop
spotify:artist:1uNFoZAHBGtllmzznpCI3s,canadian pop
spotify:artist:3iri9nBFs9e4wN7PLIetAw,pop
spotify:artist:3iri9nBFs9e4wN7PLIetAw,alt z
spotify:artist:1QRj3hoop9Mv5VvHQkwPEp,pop
spotify:artist:1QRj3hoop9Mv5VvHQkwPEp,alt z
spotify:artist:6JL8zeS1NmiOftqZTRgdTz,pop
spotify:artist:6JL8zeS1NmiOftqZTRgdTz,hip pop
spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi,dance pop
spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi,pop
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,dance pop
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,pop
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,metropopolis
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,swedish electropop
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,swedish pop
spotify:artist:4NHQUGzhtTLFvgF5SZesLK,swedish synthpop
spotify:artist:2FwJwEswyIUAljqgjNSHgP,uk dance
spotify:artist:2FwJwEswyIUAljqgjNSHgP,electropop
spotify:artist:2FwJwEswyIUAljqgjNSHgP,vapor soul
spotify:artist:0NIIxcxNHmOoyBx03SfTCD,dance pop
spotify:artist:0NIIxcxNHmOoyBx03SfTCD,pop
spotify:artist:0NIIxcxNHmOoyBx03SfTCD,metropopolis
spotify:artist:0NIIxcxNHmOoyBx03SfTCD,alternative r&b
spotify:artist:0NIIxcxNHmOoyBx03SfTCD,r&b
spotify:artist:0NIIxcxNHmOoyBx03SfTCD,urban contemporary
spotify:artist:1anyVhU62p31KFi8MEzkbf,pop rap
spotify:artist:1anyVhU62p31KFi8MEzkbf,rap
spotify:artist:1anyVhU62p31KFi8MEzkbf,trap
spotify:artist:1anyVhU62p31KFi8MEzkbf,chicago rap
spotify:artist:1anyVhU62p31KFi8MEzkbf,conscious hip hop
spotify:artist:1anyVhU62p31KFi8MEzkbf,hip hop
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,pop
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,urban contemporary
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,barbadian pop
spotify:artist:3TVXtAsR1Inumwj472S9r4,pop rap
spotify:artist:3TVXtAsR1Inumwj472S9r4,rap
spotify:artist:3TVXtAsR1Inumwj472S9r4,canadian pop
spotify:artist:3TVXtAsR1Inumwj472S9r4,hip hop
spotify:artist:3TVXtAsR1Inumwj472S9r4,canadian hip hop
spotify:artist:0hprEC0nsWuQPSHag1O2Vi,edm
spotify:artist:0hprEC0nsWuQPSHag1O2Vi,pop dance
spotify:artist:0hprEC0nsWuQPSHag1O2Vi,progressive electro house
spotify:artist:0hprEC0nsWuQPSHag1O2Vi,progressive house
spotify:artist:0hprEC0nsWuQPSHag1O2Vi,trance
spotify:artist:0l59CBSPDfKBXlyHya0pew,electro house
spotify:artist:0l59CBSPDfKBXlyHya0pew,dutch house
spotify:artist:0l59CBSPDfKBXlyHya0pew,latin house
spotify:artist:2L3kwZFd16zjHz9a5kEPAm,melancholia
spotify:artist:2L3kwZFd16zjHz9a5kEPAm,norwegian singer-songwriter
spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,pop
spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,urban contemporary
spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,neo soul
spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,pop soul
spotify:artist:25u4wHJWxCA9vO0CzxAbK7,danish pop
spotify:artist:25u4wHJWxCA9vO0CzxAbK7,scandipop
spotify:artist:02kJSzxNuaWGqwubyUba0Z,pop rap
spotify:artist:02kJSzxNuaWGqwubyUba0Z,rap
spotify:artist:02kJSzxNuaWGqwubyUba0Z,indie pop rap
spotify:artist:02kJSzxNuaWGqwubyUba0Z,oakland hip hop
spotify:artist:64M6ah0SkkRsnPGtGiRAbb,dance pop
spotify:artist:64M6ah0SkkRsnPGtGiRAbb,pop
spotify:artist:4lA68EVFzoodItMp7RH2cv,progressive psytrance
spotify:artist:4lA68EVFzoodItMp7RH2cv,psychedelic trance
spotify:artist:4lA68EVFzoodItMp7RH2cv,trance mexicano
spotify:artist:3Bs4g9IT8bAbCqmzaXYUzs,progressive psytrance
spotify:artist:3Bs4g9IT8bAbCqmzaXYUzs,psychedelic trance
spotify:artist:3Bs4g9IT8bAbCqmzaXYUzs,trance mexicano
spotify:artist:494HOdX0BxnhILxaBHYU22,progressive psytrance
spotify:artist:494HOdX0BxnhILxaBHYU22,german trance
spotify:artist:2TWfxrplORQwuUCsF9husH,progressive psytrance
spotify:artist:2TWfxrplORQwuUCsF9husH,psychedelic trance
spotify:artist:2TWfxrplORQwuUCsF9husH,forest psy
spotify:artist:2TWfxrplORQwuUCsF9husH,full on
spotify:artist:2EX1sx6sqnVUndanhxi33Y,progressive psytrance
spotify:artist:2EX1sx6sqnVUndanhxi33Y,psychedelic trance
spotify:artist:2EX1sx6sqnVUndanhxi33Y,full on
spotify:artist:0moTgm8lXIQpK1EXLSgJFR,uk contemporary r&b
spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,pop
spotify:artist:2Rf4X6m0oayCJhaJ5K63GQ,post-teen pop
spotify:artist:2Rf4X6m0oayCJhaJ5K63GQ,talent show
spotify:artist:2Rf4X6m0oayCJhaJ5K63GQ,teen pop
spotify:artist:2LZDXcxJWgsJfKXZv9a5eG,electropop
spotify:artist:2LZDXcxJWgsJfKXZv9a5eG,downtempo
spotify:artist:2LZDXcxJWgsJfKXZv9a5eG,shiver pop
spotify:artist:2LZDXcxJWgsJfKXZv9a5eG,vapor twitch
spotify:artist:2W8yFh0Ga6Yf3jiayVxwkE,pop
spotify:artist:7G6zawIBBtDX1WvuT97Ei9,movie tunes
spotify:artist:3DgcBA7P0ji5co7Z1Gfp2Q,broadway
spotify:artist:3DgcBA7P0ji5co7Z1Gfp2Q,show tunes
spotify:artist:0c173mlxpT3dSFRgMO8XPh,pop rap
spotify:artist:0c173mlxpT3dSFRgMO8XPh,rap
spotify:artist:0c173mlxpT3dSFRgMO8XPh,southern hip hop
spotify:artist:0c173mlxpT3dSFRgMO8XPh,trap
spotify:artist:0c173mlxpT3dSFRgMO8XPh,r&b
spotify:artist:0c173mlxpT3dSFRgMO8XPh,hip hop
spotify:artist:0c173mlxpT3dSFRgMO8XPh,detroit hip hop
spotify:artist:4hwJwkgsufeilLXS1ZfJqq,fort worth indie
spotify:artist:4hwJwkgsufeilLXS1ZfJqq,modern alternative rock
spotify:artist:4hwJwkgsufeilLXS1ZfJqq,modern rock
