id,name,uri
738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp
4VZY0nxYMSNotbS7WjNVQy,Nyla,spotify:artist:4VZY0nxYMSNotbS7WjNVQy
374sWpAJsbZckf98df2jJJ,Fuse ODG,spotify:artist:374sWpAJsbZckf98df2jJJ
6b5YOgXIliAozdo49vUCJQ,Izzy Bizu,spotify:artist:6b5YOgXIliAozdo49vUCJQ
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap,spotify:artist:6PXS4YHDkKvl1wkIl4V8DL
5WUlDfRSoLAfcVSX1WnrxN,Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,spotify:artist:1HBjj22wzbscIZ9sEb5dyf
2zzpznMuhKlKlqh1ma7Sms,Dakota,spotify:artist:2zzpznMuhKlKlqh1ma7Sms
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
3iri9nBFs9e4wN7PLIetAw,gnash,spotify:artist:3iri9nBFs9e4wN7PLIetAw
1QRj3hoop9Mv5VvHQkwPEp,Olivia O'Brien,spotify:artist:1QRj3hoop9Mv5VvHQkwPEp
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,spotify:artist:6JL8zeS1NmiOftqZTRgdTz
4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,spotify:artist:4NHQUGzhtTLFvgF5SZesLK
2FwJwEswyIUAljqgjNSHgP,Snakehips,spotify:artist:2FwJwEswyIUAljqgjNSHgP
0NIIxcxNHmOoyBx03SfTCD,Tinashe,spotify:artist:0NIIxcxNHmOoyBx03SfTCD
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
3TVXtAsR1Inumwj472S9r4,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
0hprEC0nsWuQPSHag1O2Vi,Gareth Emery,spotify:artist:0hprEC0nsWuQPSHag1O2Vi
0qLQkmES1i8yc5SYefKgAH,Alastor,spotify:artist:0qLQkmES1i8yc5SYefKgAH
7to9vdVy94a46Z14O2MmYr,London Thor,spotify:artist:7to9vdVy94a46Z14O2MmYr
263Gr9lGWR6ScnRGjxa3Ad,DR. KUCHO!,spotify:artist:263Gr9lGWR6ScnRGjxa3Ad
0l59CBSPDfKBXlyHya0pew,Gregor Salto,spotify:artist:0l59CBSPDfKBXlyHya0pew
2L3kwZFd16zjHz9a5kEPAm,Ane Brun,spotify:artist:2L3kwZFd16zjHz9a5kEPAm
5y2Xq6xcjJb2jVM54GHK3t,John Legend,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t
25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,spotify:artist:25u4wHJWxCA9vO0CzxAbK7
02kJSzxNuaWGqwubyUba0Z,G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,spotify:artist:64M6ah0SkkRsnPGtGiRAbb
2f3IpDYSEiMCnVTDkYYGT2,Marc Stout,spotify:artist:2f3IpDYSEiMCnVTDkYYGT2
6yvsiJCOkdVNE4bRQiDzBP,Scott Svejda,spotify:artist:6yvsiJCOkdVNE4bRQiDzBP
7h3q3yZxAbgrcFB77loJRd,Tech House 2017,spotify:artist:7h3q3yZxAbgrcFB77loJRd
6dzxsBa7KD4e5UfphfjRHr,Fausto Fanizza,spotify:artist:6dzxsBa7KD4e5UfphfjRHr
4lA68EVFzoodItMp7RH2cv,Interactive Noise,spotify:artist:4lA68EVFzoodItMp7RH2cv
3Bs4g9IT8bAbCqmzaXYUzs,Durs,spotify:artist:3Bs4g9IT8bAbCqmzaXYUzs
494HOdX0BxnhILxaBHYU22,Bitmonx,spotify:artist:494HOdX0BxnhILxaBHYU22
2TWfxrplORQwuUCsF9husH,Killerwatts,spotify:artist:2TWfxrplORQwuUCsF9husH
2EX1sx6sqnVUndanhxi33Y,WAIO,spotify:artist:2EX1sx6sqnVUndanhxi33Y
0moTgm8lXIQpK1EXLSgJFR,J-Sol,spotify:artist:0moTgm8lXIQpK1EXLSgJFR
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
2Rf4X6m0oayCJhaJ5K63GQ,Nathan Sykes,spotify:artist:2Rf4X6m0oayCJhaJ5K63GQ
2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,spotify:artist:2LZDXcxJWgsJfKXZv9a5eG
1YGYRQJXZFD4Pkn7RFrAf8,Maddie Baillio,spotify:artist:1YGYRQJXZFD4Pkn7RFrAf8
2W8yFh0Ga6Yf3jiayVxwkE,Dove Cameron,spotify:artist:2W8yFh0Ga6Yf3jiayVxwkE
7G6zawIBBtDX1WvuT97Ei9,Harvey Fierstein,spotify:artist:7G6zawIBBtDX1WvuT97Ei9
4CfTFp39LgcvLWn9YQBIbZ,Andrea Martin,spotify:artist:4CfTFp39LgcvLWn9YQBIbZ
3DgcBA7P0ji5co7Z1Gfp2Q,Kristin Chenoweth,spotify:artist:3DgcBA7P0ji5co7Z1Gfp2Q
7eIVukDgZAdqsxYmAoLUzC,Joshua Alexander,spotify:artist:7eIVukDgZAdqsxYmAoLUzC
639pSH8k0Ly7daq2AmbUVv,Will Bell,spotify:artist:639pSH8k0Ly7daq2AmbUVv
4mnS5t67NcX8e565nSdxyV,Helene,spotify:artist:4mnS5t67NcX8e565nSdxyV
6s8gKeHFnHkNmacxQrmaDl,Riley Costello,spotify:artist:6s8gKeHFnHkNmacxQrmaDl
4NEP1JlWnpSIzAe9EEIbAp,Kelli Ann Erdmann,spotify:artist:4NEP1JlWnpSIzAe9EEIbAp
3auaLKDAioJmLl6MhRyk9p,Sam Faulkner,spotify:artist:3auaLKDAioJmLl6MhRyk9p
6ptMNK03c8L2Qu0TbXfZkA,Marissa Heart,spotify:artist:6ptMNK03c8L2Qu0TbXfZkA
6mRK3kM9VcjgnwtUAE1vNx,Joanna Jones,spotify:artist:6mRK3kM9VcjgnwtUAE1vNx
7kVd3JynoyA1BLdI1H5WSp,Jacque Lewarne,spotify:artist:7kVd3JynoyA1BLdI1H5WSp
59LT55OL65269TYMmffAVS,Tommy Martinez,spotify:artist:59LT55OL65269TYMmffAVS
2MgbGlG3N9vPPgg2YMEDRU,Tiana Okoye,spotify:artist:2MgbGlG3N9vPPgg2YMEDRU
5rgdO5pJxQJAklD1xpVK4A,Amos Oliver III,spotify:artist:5rgdO5pJxQJAklD1xpVK4A
1LQYirjbwr3lWrJBffW9LU,Re'Sean Pates,spotify:artist:1LQYirjbwr3lWrJBffW9LU
21adn9pAUlseTN69jwzxM0,Katherine Roarty,spotify:artist:21adn9pAUlseTN69jwzxM0
1nGfYGCcPW1HfAn4knmW0I,Rhon Saunders,spotify:artist:1nGfYGCcPW1HfAn4knmW0I
10Kv3OiLyytalSDgpY7Ivt,Ricky Schroeder,spotify:artist:10Kv3OiLyytalSDgpY7Ivt
73rMgUrBb5SCgadZiPpAYy,Heather Tepe,spotify:artist:73rMgUrBb5SCgadZiPpAYy
3WKuOUShBN6frHRmiKzjrg,Mason Trueblood,spotify:artist:3WKuOUShBN6frHRmiKzjrg
7CqqAHRtHecWkeMjIZVUMv,Karl Skyler Urban,spotify:artist:7CqqAHRtHecWkeMjIZVUMv
3KDzU0ZVM9Af5Uw71zuldy,Paul Vogt,spotify:artist:3KDzU0ZVM9Af5Uw71zuldy
0c173mlxpT3dSFRgMO8XPh,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh
4hwJwkgsufeilLXS1ZfJqq,The Unlikely Candidates,spotify:artist:4hwJwkgsufeilLXS1ZfJqq
6AyATGg7mDgBlZ4N5uNog0,SYML,spotify:artist:6AyATGg7mDgBlZ4N5uNog0
0p0ksmwMDQlAM24TWKu4Ua,Lily Kershaw,spotify:artist:0p0ksmwMDQlAM24TWKu4Ua
