uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
spotify:track:1pjvlYOMIg1NhGQbM6iwrY,0.0375,0.747,166138,0.877,0.000833,9,0.233,-3.782,0,0.0664,107.991,4,0.752
spotify:track:64I0PKLFEKlcvc7fEVUGq0,0.222,0.772,180067,0.582,8.78e-05,2,0.108,-5.14,0,0.0615,117.856,4,0.319
spotify:track:53Y0kdCa1CZ9gRqEuknfwy,0.0525,0.599,193333,0.869,0.00719,0,0.103,-3.697,1,0.0789,108.061,4,0.593
spotify:track:0PDUDa38GO8lMxLCRc4lL1,0.117,0.584,202747,0.7,0.0,11,0.0939,-4.275,1,0.0456,124.944,4,0.438
spotify:track:1SN1vSPsr4V4tIUTR3s8YW,0.469,0.672,212424,0.578,0.0,9,0.312,-6.621,1,0.0569,113.945,4,0.548
spotify:track:09CtPGIpYB4BrO8qb1RGsF,0.0797,0.655,200787,0.76,0.0,0,0.299,-3.669,0,0.045,99.947,4,0.409
spotify:track:7vRriwrloYVaoAe3a9wJHe,0.687,0.492,251034,0.275,0.0,6,0.101,-13.4,0,0.3,92.6,4,0.18
spotify:track:0l0CvurVUrr2w3Jj1hOVFc,0.0124,0.557,213507,0.803,1.61e-06,1,0.737,-3.599,0,0.213,92.134,4,0.657
spotify:track:3lSDIJ2abCrOdDJ6pshUap,0.253,0.654,234213,0.623,0.0,6,0.144,-5.273,0,0.082,123.996,4,0.401
spotify:track:6TaqooOXAEcijL6G1AWS2K,0.12,0.681,229747,0.521,8.41e-05,0,0.108,-5.849,1,0.141,94.997,4,0.181
spotify:track:72TFWvU3wUYdUuxejTTIzt,0.0747,0.723,219320,0.534,0.0,11,0.0919,-6.238,1,0.0891,91.974,4,0.551
spotify:track:0lTurWECr2XL607eJAj1A3,0.318,0.542,219653,0.37,4.84e-06,2,0.108,-7.779,1,0.0257,84.796,4,0.289
spotify:track:3JZ5bL6UYIeJ5x0SCXUQbO,0.0543,0.559,189844,0.672,0.000243,7,0.281,-6.102,1,0.045,128.044,4,0.306
spotify:track:1MOGJQsVeaRcXY6heJz5UZ,0.0863,0.708,157466,0.904,0.000179,6,0.178,-4.9,1,0.0408,125.002,4,0.75
spotify:track:0ifSeVGUr7py5GggttDhXw,0.0476,0.811,188754,0.879,1.91e-06,9,0.109,-3.724,1,0.0514,134.064,4,0.962
spotify:track:7MjKAV0mFiEID9WhDSSzaW,0.4,0.63,225053,0.53,0.0,0,0.177,-7.259,1,0.0434,108.038,3,0.417
