duration_ms,explicit,name,popularity,uri,orig_uri,isrc
166138,False,Light It Up (feat. Nyla & Fuse ODG) [Remix],77,spotify:track:1pjvlYOMIg1NhGQbM6iwrY,spotify:track:6lDo13SSgTv0WbyUQKgnjk,QMUY41500182
180066,False,White Tiger - Single Version,54,spotify:track:64I0PKLFEKlcvc7fEVUGq0,spotify:track:64I0PKLFEKlcvc7fEVUGq0,GBARL1501358
193333,False,Bang My Head (feat. Sia & Fetty Wap),56,spotify:track:53Y0kdCa1CZ9gRqEuknfwy,spotify:track:53Y0kdCa1CZ9gRqEuknfwy,GB28K1500110
202746,True,PILLOWTALK,76,spotify:track:0PDUDa38GO8lMxLCRc4lL1,spotify:track:0PDUDa38GO8lMxLCRc4lL1,USRC11600042
212424,False,Fast Car,74,spotify:track:1SN1vSPsr4V4tIUTR3s8YW,spotify:track:6OZh916QF8XNunWaP97WEZ,GBUM71507621
200786,False,Sorry,82,spotify:track:09CtPGIpYB4BrO8qb1RGsF,spotify:track:69bp2EbF7Q2rqc5N3ylezZ,USUM71516760
251033,True,"i hate u, i love u (feat. olivia o'brien)",75,spotify:track:7vRriwrloYVaoAe3a9wJHe,spotify:track:7vRriwrloYVaoAe3a9wJHe,USAT21601051
213506,False,NO,73,spotify:track:0l0CvurVUrr2w3Jj1hOVFc,spotify:track:0NmeI6UpRE27dxxgosD5n9,USSM11600935
234213,False,Close,65,spotify:track:3lSDIJ2abCrOdDJ6pshUap,spotify:track:4Zpe9VME8DiFjLdqSqPRoZ,USUM71602394
229746,True,All My Friends (feat. Tinashe & Chance the Rapper),69,spotify:track:6TaqooOXAEcijL6G1AWS2K,spotify:track:6TaqooOXAEcijL6G1AWS2K,GBARL1501370
219320,True,Work,77,spotify:track:72TFWvU3wUYdUuxejTTIzt,spotify:track:14WWzenpaEgQZlqPq2nk4v,QM5FT1600116
219653,False,I'll Be Home,41,spotify:track:0lTurWECr2XL607eJAj1A3,spotify:track:4ZWiQrSCsoZZsHm7GCYxv1,USSM11408623
189843,False,Hands,34,spotify:track:3JZ5bL6UYIeJ5x0SCXUQbO,spotify:track:3JZ5bL6UYIeJ5x0SCXUQbO,NLF711504316
157466,False,Can't Stop Playing (Makes Me High) [feat. Ane Brun] - Oliver Heldens & Gregor Salto Vocal Mix Edit,52,spotify:track:1MOGJQsVeaRcXY6heJz5UZ,spotify:track:7ev2lOXMdzyJ5qCXUnrRns,NLZ541500027
188754,True,All About That Bass,58,spotify:track:0ifSeVGUr7py5GggttDhXw,spotify:track:0ifSeVGUr7py5GggttDhXw,USSM11401317
225053,False,Like I'm Gonna Lose You (feat. John Legend),53,spotify:track:7MjKAV0mFiEID9WhDSSzaW,spotify:track:7MjKAV0mFiEID9WhDSSzaW,USSM11408374
184226,False,Dear Future Husband,57,spotify:track:5MEYDJVJMaGAXfddTo0D6J,spotify:track:5MEYDJVJMaGAXfddTo0D6J,USSM11406291
237300,False,7 Years,61,spotify:track:23ihGIrYOSzNNGJ6STAxI4,spotify:track:23ihGIrYOSzNNGJ6STAxI4,USWB11506516
275714,True,"Me, Myself & I - Marc Stout & Scott Svejda Remix",42,spotify:track:4WLVepwyIveYwv7uJROc5p,spotify:track:4WLVepwyIveYwv7uJROc5p,USRC11600046
431999,False,Lift Me - La Decadance Remix,8,spotify:track:3uT96YtBLquK1chKWuk4k7,spotify:track:4WbkN8EZfHTt2MXwbEuUDu,GBPS83840031
353142,False,Against the System,7,spotify:track:3mRlYae6X7UtjRJFtuN27r,spotify:track:4sEiYknAEhlA12mQ12vJE9,DEKC41700045
523795,False,Redo,6,spotify:track:21UiWWGdHEWKqWdD4ix0c6,spotify:track:1we3pHqhkUEwY9XsxXK5Aa,DEKC41700017
449541,False,Wake Up - 2017 Deluxe Edition,22,spotify:track:5lsaE60UW6Gb23nhxoQgNX,spotify:track:2oJHVs1VY0fvhJz8Ivo8lX,GBKQU1737227
213000,False,Almost Is Never Enough,18,spotify:track:7DEyKAWzZ837ShplYNZ0Ha,spotify:track:401Q7B8s87YGn5zIYpGzEf,GBKPL2150626
258188,True,Quit (feat. Ariana Grande),62,spotify:track:4rwqrKdwlFWJ6LvPYaOtgn,spotify:track:4Q5yMlwAfAoitqg4r9oZHN,USUM71702753
193986,False,Only 1,54,spotify:track:6LQzYkmd8ADbKOOEVDnlG4,spotify:track:5LB5RjU87USTja29YNTe7S,USUM71409738
235946,False,Dangerous Woman,78,spotify:track:3nef5W8jTkXrOKgCu4kmq7,spotify:track:2h1IPjP471JJRSShTHRUhi,USUM71601826
191093,False,"Mama, I'm a Big Girl Now",41,spotify:track:5D1NSvQajIAbwTgnNfKNdR,spotify:track:5D1NSvQajIAbwTgnNfKNdR,USQX91602481
233733,False,Best Mistake,62,spotify:track:70yhaHLp9STtzI2Kzba6Tr,spotify:track:61707mcFfjlHcedjmRCr1L,USUM71409726
197600,False,Baby I,58,spotify:track:6NmCCgnQcxKHPOAKgd9Nth,spotify:track:6NmCCgnQcxKHPOAKgd9Nth,USUM71309591
192500,False,Oh My Dear Lord,49,spotify:track:0iHA83002w19QxhOIixKDy,spotify:track:0iHA83002w19QxhOIixKDy,USQX91702599
201520,False,Where’s My Love - Duet,36,spotify:track:3OYS0HPiHEVihL5p5R5hS3,spotify:track:3XIDahvnAcQmiQnoUCOsRx,CAN111700572
182805,False,It'll Work Itself Out,43,spotify:track:1S0VsP2UnnOudyXtzwkVNE,spotify:track:2u6SXgdzFNTQLc4LcSi3Vd,CAX1M1610003
243466,False,Pieces,9,spotify:track:6XdCTA39u0HSocOo0uKxAx,spotify:track:6MeoyBCjOe5XcyS79Bg7vo,SE3OH1516670
214386,False,"Guardian Angel, You Can Go Now",14,spotify:track:2DNqjHRbZSmYDnXUMM3huw,spotify:track:7kqZ2JmRcsAoEzCjqSPxcM,CAN111700195
163552,False,World of Blue,5,spotify:track:6ZZsbI9qn2FWwWuZkeHocS,spotify:track:6ZZsbI9qn2FWwWuZkeHocS,ushm81772899
210093,False,Stop It - Stripped,25,spotify:track:3uAsDqI2xJk6rbel3nwujs,spotify:track:4G8hcrkEmz5e1mUKDUNvLJ,GBKPL1790222
219601,False,Throw Me in the Water,39,spotify:track:3N1ZR4B6JGuwt8YiQH22S0,spotify:track:1xHOhfFSFPzu1XT99RyjHK,CAN111700502
236617,False,Burn Bright,3,spotify:track:4Dmw4aHlwx1lnMcXihlih1,spotify:track:4Dmw4aHlwx1lnMcXihlih1,CAR1Q1400007
206200,False,Red Bow,3,spotify:track:5puvzPuzUqMoNwqDoknTzM,spotify:track:5puvzPuzUqMoNwqDoknTzM,QZ9531700003
215413,False,Man Overboard,43,spotify:track:2WMF5i6ClS9GEeM34MHEji,spotify:track:2WMF5i6ClS9GEeM34MHEji,QZ9Y21751383
161082,False,Landslide,27,spotify:track:5wTlERh8nu1KbQ33bl6Pln,spotify:track:2b8KbSuF8V1CaszcGbArab,GBLFP1750477
227741,False,Golden October,21,spotify:track:2tVmNMAQr3ppI0z3M0242w,spotify:track:5FIuOFJccj4q7OwOtXwYN7,DEZ651715086
207943,False,Lost,2,spotify:track:29PQWh4PshBWD3SukkQSwb,spotify:track:29PQWh4PshBWD3SukkQSwb,QZ9SA1700003
279477,False,Pictures,6,spotify:track:2B0HrcxGa5bYwYKUgiqfek,spotify:track:0fLXAZvxJUxVNQ8Bcw9EAE,GBLFP1780466
234482,False,Lighter,17,spotify:track:7l4nryGdkXCe6xcSfDgewe,spotify:track:1XNIqAZSjRsiuVROHvoKxh,NLN8R1600008
231593,False,Stranger,32,spotify:track:0No1Mcz6DJ9HlPAICTqI2v,spotify:track:0No1Mcz6DJ9HlPAICTqI2v,TCADI1731852
196080,False,Some Unholy War - Down Tempo,47,spotify:track:5OlM5krdWS4ivOGVz3X8c0,spotify:track:5OlM5krdWS4ivOGVz3X8c0,GBUM70709182
186440,True,Tears Dry On Their Own,75,spotify:track:7MDfN1ldfTMtuXXdVz2Pzc,spotify:track:7MDfN1ldfTMtuXXdVz2Pzc,GBUM70603494
176320,False,Monkey Man,49,spotify:track:52fqquVYihRW17ySEcy5mA,spotify:track:52fqquVYihRW17ySEcy5mA,GBUM70607203
262813,False,Will You Still Love Me Tomorrow? - 2011,63,spotify:track:0LbK1bodGLc9xmV1cS9jvL,spotify:track:5TiDasAFs5gwEx52NEcDhs,GBUM71110028
233733,False,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",75,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,GBUM70702678
153413,False,You're Wondering Now,48,spotify:track:7ee1XEOzZgzTQWNaiHZvKY,spotify:track:7ee1XEOzZgzTQWNaiHZvKY,GBUM70706267
155413,False,Love Is A Losing Game,69,spotify:track:3uliGwmB52ZA7brgpZMzyH,spotify:track:3uliGwmB52ZA7brgpZMzyH,GBUM70603489
169373,False,Our Day Will Come,65,spotify:track:4NDpn6yfD5aqafYWFEaJDz,spotify:track:2Arl7cRrFiuDiHQjdMEXOU,GBUM71110106
241293,True,Back To Black,82,spotify:track:3FAclTFfvUuQYnEsptbK8w,spotify:track:2s4BsyV3KhhrtsdtNfzoqb,GBUM70604698
155413,False,Love Is A Losing Game,69,spotify:track:3uliGwmB52ZA7brgpZMzyH,spotify:track:4IMBnBRqm9RALmLrRqfMor,GBUM70603489
257186,False,You Know I'm No Good,73,spotify:track:0DMRKqrpd0QO4RWiEdMib0,spotify:track:4SyowQi18ym4zJGJDBnsTj,GBUM70603488
214493,False,Stronger Than Me,67,spotify:track:5LC7nItIEFp4nzdFdEGbf9,spotify:track:0HvrW09sl0aoAEmlIcZ9s6,GBAAN0300358
204760,False,Wir Sind Groß,53,spotify:track:7AraSdlKIOoPCLRKkI3WjP,spotify:track:7AraSdlKIOoPCLRKkI3WjP,DEQ321600034
117840,False,From Me To You,36,spotify:track:27jecBSosDFnuTM3cbdkDb,spotify:track:4XyrKa4r49DjoF9qeaueFw,SEVVQ1300301
203574,False,Say a Little Prayer - Live,54,spotify:track:1ZczOoLuCyDO5dKUPndxf5,spotify:track:1ZczOoLuCyDO5dKUPndxf5,GBAHT1600336
198066,False,Frische Luft,46,spotify:track:4o3psLfmwQ1z3GzU6LuScy,spotify:track:4o3psLfmwQ1z3GzU6LuScy,DEUM71604947
216000,False,Weck mich nicht auf,40,spotify:track:78PWeRjBjLVcdkKjqngkur,spotify:track:78PWeRjBjLVcdkKjqngkur,DEUM71722589
209306,False,Feuerwerk,56,spotify:track:3GRoxbBauU8Ui1zUJwn9aD,spotify:track:3GRoxbBauU8Ui1zUJwn9aD,DEUM71604946
210320,False,An Wunder - Akustik Version,16,spotify:track:7beFKLQDg2MK8jl8krs9On,spotify:track:7beFKLQDg2MK8jl8krs9On,DEUM71801283
201960,False,Nur ein Herzschlag entfernt,44,spotify:track:3lzSpq0cp3mmld7Dpeys8G,spotify:track:3lzSpq0cp3mmld7Dpeys8G,DEUM71601969
241038,False,Regenbogen - Achtabahn Club Edit,10,spotify:track:35HjDMPVUOFVC104p9bWbz,spotify:track:35HjDMPVUOFVC104p9bWbz,DEUM71502935
225773,True,This Is America,67,spotify:track:0b9oOr2ZgvyQu88wzixux9,spotify:track:0b9oOr2ZgvyQu88wzixux9,USRC11801773
179512,True,BOOM,64,spotify:track:6iC7vapdKp0XlKhxOkp8QJ,spotify:track:7i5sdKCjFIYlD9idhZBijJ,CYA111800003
193320,False,Born To Be Yours,49,spotify:track:2hoigtnMAjSejRi1hHk99w,spotify:track:2hoigtnMAjSejRi1hHk99w,SEBGA1802355
202440,True,FRIENDS - Borgeous Remix,37,spotify:track:1QdG3nKKTrNWlN9x9t1cH6,spotify:track:1QdG3nKKTrNWlN9x9t1cH6,GBAHS1800240
315746,False,"Suite Bergamasque, L. 75: III. Clair De Lune",26,spotify:track:64fGW0tyU2caV8ddFLUUBj,spotify:track:64fGW0tyU2caV8ddFLUUBj,USDO19900305
347613,False,Bella's Lullaby - Extended Mix,32,spotify:track:1cxOctfyUKFusktGDOlMSu,spotify:track:5nm79AK7tZZ6LeUlDopYTZ,GBGVZ1010962
145853,False,Requiem On Water,48,spotify:track:1T02TSO5HAzOGFUrZnu8JM,spotify:track:1T02TSO5HAzOGFUrZnu8JM,TCABK1233360
249253,False,Endtapes - Soundtrack Version,34,spotify:track:4ZJJht0LwcRMCRL0UBcybZ,spotify:track:4ZJJht0LwcRMCRL0UBcybZ,USAT21102305
136000,False,"Bella's Lullaby - From ""Twilight""",36,spotify:track:5QlRkjvOlvjEgn2ZUkwbTy,spotify:track:5QlRkjvOlvjEgn2ZUkwbTy,CAM461032063
235653,False,Neighbors - Soundtrack Version,30,spotify:track:4YwU2Xmav2GIa3AGMBowg1,spotify:track:4YwU2Xmav2GIa3AGMBowg1,USAT21102309
363573,False,Love Death Birth,37,spotify:track:075V2KZd5WuSOD3laDvbRe,spotify:track:075V2KZd5WuSOD3laDvbRe,USAT21102317
