,duration_ms_x,explicit,name,popularity,uri,orig_uri,isrc,acousticness,danceability,duration_ms_y,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,166138,False,Light It Up (feat. Nyla & Fuse ODG) [Remix],77,spotify:track:1pjvlYOMIg1NhGQbM6iwrY,spotify:track:6lDo13SSgTv0WbyUQKgnjk,QMUY41500182,0.0375,0.747,166138,0.877,0.000833,9,0.233,-3.782,0,0.0664,107.991,4,0.752
1,180066,False,White Tiger - Single Version,54,spotify:track:64I0PKLFEKlcvc7fEVUGq0,spotify:track:64I0PKLFEKlcvc7fEVUGq0,GBARL1501358,0.222,0.772,180067,0.582,8.78e-05,2,0.108,-5.14,0,0.0615,117.856,4,0.319
2,193333,False,Bang My Head (feat. Sia & Fetty Wap),56,spotify:track:53Y0kdCa1CZ9gRqEuknfwy,spotify:track:53Y0kdCa1CZ9gRqEuknfwy,GB28K1500110,0.0525,0.599,193333,0.869,0.00719,0,0.103,-3.697,1,0.0789,108.061,4,0.593
3,202746,True,PILLOWTALK,76,spotify:track:0PDUDa38GO8lMxLCRc4lL1,spotify:track:0PDUDa38GO8lMxLCRc4lL1,USRC11600042,0.117,0.584,202747,0.7,0.0,11,0.0939,-4.275,1,0.0456,124.944,4,0.438
4,212424,False,Fast Car,74,spotify:track:1SN1vSPsr4V4tIUTR3s8YW,spotify:track:6OZh916QF8XNunWaP97WEZ,GBUM71507621,0.469,0.672,212424,0.578,0.0,9,0.312,-6.621,1,0.0569,113.945,4,0.548
5,200786,False,Sorry,82,spotify:track:09CtPGIpYB4BrO8qb1RGsF,spotify:track:69bp2EbF7Q2rqc5N3ylezZ,USUM71516760,0.0797,0.655,200787,0.76,0.0,0,0.299,-3.669,0,0.045,99.947,4,0.409
6,251033,True,"i hate u, i love u (feat. olivia o'brien)",75,spotify:track:7vRriwrloYVaoAe3a9wJHe,spotify:track:7vRriwrloYVaoAe3a9wJHe,USAT21601051,0.687,0.492,251034,0.275,0.0,6,0.101,-13.4,0,0.3,92.6,4,0.18
7,213506,False,NO,73,spotify:track:0l0CvurVUrr2w3Jj1hOVFc,spotify:track:0NmeI6UpRE27dxxgosD5n9,USSM11600935,0.0124,0.557,213507,0.803,1.61e-06,1,0.737,-3.599,0,0.213,92.134,4,0.657
8,234213,False,Close,65,spotify:track:3lSDIJ2abCrOdDJ6pshUap,spotify:track:4Zpe9VME8DiFjLdqSqPRoZ,USUM71602394,0.253,0.654,234213,0.623,0.0,6,0.144,-5.273,0,0.082,123.996,4,0.401
9,229746,True,All My Friends (feat. Tinashe & Chance the Rapper),69,spotify:track:6TaqooOXAEcijL6G1AWS2K,spotify:track:6TaqooOXAEcijL6G1AWS2K,GBARL1501370,0.12,0.681,229747,0.521,8.41e-05,0,0.108,-5.849,1,0.141,94.997,4,0.181
