uri,genre
spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,detroit hip hop
spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,hip hop
spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,rap
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,barbadian pop
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,pop
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,urban contemporary
spotify:artist:3hImYGOkGn8Rsh9Vygcds2,northamptonshire indie
spotify:artist:3hImYGOkGn8Rsh9Vygcds2,nu gaze
spotify:artist:3hImYGOkGn8Rsh9Vygcds2,shoegaze
spotify:artist:63MQldklfxkjYDoUE4Tppz,french shoegaze
spotify:artist:63MQldklfxkjYDoUE4Tppz,french synthpop
spotify:artist:63MQldklfxkjYDoUE4Tppz,indietronica
spotify:artist:63MQldklfxkjYDoUE4Tppz,metropopolis
spotify:artist:63MQldklfxkjYDoUE4Tppz,neo-synthpop
spotify:artist:41LLNWUptvfbQ9Q7oCefmg,german hip hop
spotify:artist:7CqB6nNGQPcaEJ940E2x2r,german hip hop
spotify:artist:3OYM3jjPVR60kOqmamRRgk,german alternative rap
spotify:artist:6gto7HVNhu4ARE3P3g8Y5Y,german hip hop
spotify:artist:69u5rPwWBKP7pJHpCGB9O5,german hip hop
spotify:artist:69u5rPwWBKP7pJHpCGB9O5,german alternative rap
spotify:artist:69u5rPwWBKP7pJHpCGB9O5,german pop
spotify:artist:1mBdei7fcRpbUEYHgsQN9H,nu gaze
spotify:artist:1mBdei7fcRpbUEYHgsQN9H,shoegaze
spotify:artist:1mBdei7fcRpbUEYHgsQN9H,metropopolis
spotify:artist:1mBdei7fcRpbUEYHgsQN9H,dream pop
spotify:artist:1mBdei7fcRpbUEYHgsQN9H,modern dream pop
spotify:artist:54KCNI7URCrG6yjQK3Ukow,metropopolis
spotify:artist:54KCNI7URCrG6yjQK3Ukow,art pop
spotify:artist:54KCNI7URCrG6yjQK3Ukow,norwegian pop
spotify:artist:54KCNI7URCrG6yjQK3Ukow,norwegian singer-songwriter
spotify:artist:2iReGc3ItZlbaaSWymMJve,german hip hop
spotify:artist:2iReGc3ItZlbaaSWymMJve,german drill
spotify:artist:6kDMoHTcBICPILP2aclPWZ,dream pop
spotify:artist:6kDMoHTcBICPILP2aclPWZ,danish alternative rock
spotify:artist:6kDMoHTcBICPILP2aclPWZ,danish rock
spotify:artist:6kDMoHTcBICPILP2aclPWZ,melancholia
spotify:artist:6ri0XKbaMvGEQ6r7fSee8g,nu gaze
spotify:artist:6ri0XKbaMvGEQ6r7fSee8g,shoegaze
spotify:artist:6ri0XKbaMvGEQ6r7fSee8g,modern dream pop
spotify:artist:6ri0XKbaMvGEQ6r7fSee8g,etherpop
spotify:artist:6ri0XKbaMvGEQ6r7fSee8g,philly indie
spotify:artist:3yKNp8dIAxK8sXOmTZhoip,nu gaze
spotify:artist:3yKNp8dIAxK8sXOmTZhoip,shoegaze
spotify:artist:3yKNp8dIAxK8sXOmTZhoip,leicester indie
spotify:artist:4xM0Rz2FbjZevoVLVJUgEQ,dance rock
spotify:artist:4xM0Rz2FbjZevoVLVJUgEQ,electronic rock
spotify:artist:2P7AfQW941UU324qq2ggZf,german hip hop
spotify:artist:2P7AfQW941UU324qq2ggZf,german alternative rap
spotify:artist:2P7AfQW941UU324qq2ggZf,deep german hip hop
spotify:artist:2JwyRtuXf2l6sTnSnGVIa1,german hip hop
spotify:artist:7M6ItqYUMPQRQQ5q54tl7G,german hip hop
spotify:artist:7M6ItqYUMPQRQQ5q54tl7G,german cloud rap
spotify:artist:5LHRHt1k9lMyONurDHEdrp,hip hop
spotify:artist:5LHRHt1k9lMyONurDHEdrp,rap
spotify:artist:5LHRHt1k9lMyONurDHEdrp,pop rap
spotify:artist:5LHRHt1k9lMyONurDHEdrp,southern hip hop
spotify:artist:5LHRHt1k9lMyONurDHEdrp,trap
spotify:artist:137W8MRPWKqSmrBGDBFSop,hip hop
spotify:artist:137W8MRPWKqSmrBGDBFSop,rap
spotify:artist:137W8MRPWKqSmrBGDBFSop,pop rap
spotify:artist:137W8MRPWKqSmrBGDBFSop,southern hip hop
spotify:artist:137W8MRPWKqSmrBGDBFSop,trap
spotify:artist:137W8MRPWKqSmrBGDBFSop,pittsburgh rap
spotify:artist:5yG7ZAZafVaAlMTeBybKAL,pop
spotify:artist:5yG7ZAZafVaAlMTeBybKAL,australian hip hop
spotify:artist:5yG7ZAZafVaAlMTeBybKAL,dance pop
spotify:artist:4lDiJcOJ2GLCK6p9q5BgfK,german hip hop
spotify:artist:4lDiJcOJ2GLCK6p9q5BgfK,german pop
spotify:artist:3IrUyDPQlQFcB5lMWhPml2,german hip hop
