id,name,uri
7dGJo4pcD2V6oG8kP0tJRR,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
3hImYGOkGn8Rsh9Vygcds2,Maps,spotify:artist:3hImYGOkGn8Rsh9Vygcds2
63MQldklfxkjYDoUE4Tppz,M83,spotify:artist:63MQldklfxkjYDoUE4Tppz
2cjQrDO6RUCuXQaLEzRREn,Late Night Hustle,spotify:artist:2cjQrDO6RUCuXQaLEzRREn
0pKfxJC2IrdfOvkkCyxAgZ,El Maloso,spotify:artist:0pKfxJC2IrdfOvkkCyxAgZ
7Jzn7uNsnS9DrvKUELam3y,TNS,spotify:artist:7Jzn7uNsnS9DrvKUELam3y
0RWzxu0bXtASXIEQjWF2xv,Crydamoure,spotify:artist:0RWzxu0bXtASXIEQjWF2xv
3tSfy2ba0Ren7EdYy1q5it,Mr. Weed,spotify:artist:3tSfy2ba0Ren7EdYy1q5it
4NJFiZpZU9PAGEqxQqVtkC,Mr Coronas,spotify:artist:4NJFiZpZU9PAGEqxQqVtkC
2WLvwxBojx4PKzGbvROtJL,Ribah,spotify:artist:2WLvwxBojx4PKzGbvROtJL
41LLNWUptvfbQ9Q7oCefmg,Genetikk,spotify:artist:41LLNWUptvfbQ9Q7oCefmg
7CqB6nNGQPcaEJ940E2x2r,RAF 3.0,spotify:artist:7CqB6nNGQPcaEJ940E2x2r
1eeWVOCazGzGQXOGhnDHTB,Trailerpark,spotify:artist:1eeWVOCazGzGQXOGhnDHTB
1BPZ3oQGoSxdrRox9uHt8x,Dark Dust,spotify:artist:1BPZ3oQGoSxdrRox9uHt8x
3OYM3jjPVR60kOqmamRRgk,Prinz Pi,spotify:artist:3OYM3jjPVR60kOqmamRRgk
1uba6WUvVPjiA4GCntUDmC,Rockstah,spotify:artist:1uba6WUvVPjiA4GCntUDmC
6gto7HVNhu4ARE3P3g8Y5Y,Kollegah,spotify:artist:6gto7HVNhu4ARE3P3g8Y5Y
69u5rPwWBKP7pJHpCGB9O5,MoTrip,spotify:artist:69u5rPwWBKP7pJHpCGB9O5
1mBdei7fcRpbUEYHgsQN9H,School Of Seven Bells,spotify:artist:1mBdei7fcRpbUEYHgsQN9H
54KCNI7URCrG6yjQK3Ukow,Susanne Sundfør,spotify:artist:54KCNI7URCrG6yjQK3Ukow
2iReGc3ItZlbaaSWymMJve,Manuellsen,spotify:artist:2iReGc3ItZlbaaSWymMJve
6kDMoHTcBICPILP2aclPWZ,Mew,spotify:artist:6kDMoHTcBICPILP2aclPWZ
6ri0XKbaMvGEQ6r7fSee8g,A Sunny Day In Glasgow,spotify:artist:6ri0XKbaMvGEQ6r7fSee8g
3yKNp8dIAxK8sXOmTZhoip,Kyte,spotify:artist:3yKNp8dIAxK8sXOmTZhoip
4xM0Rz2FbjZevoVLVJUgEQ,The Big Pink,spotify:artist:4xM0Rz2FbjZevoVLVJUgEQ
2P7AfQW941UU324qq2ggZf,METRICKZ,spotify:artist:2P7AfQW941UU324qq2ggZf
2JwyRtuXf2l6sTnSnGVIa1,Farid Bang,spotify:artist:2JwyRtuXf2l6sTnSnGVIa1
7M6ItqYUMPQRQQ5q54tl7G,Megaloh,spotify:artist:7M6ItqYUMPQRQQ5q54tl7G
5vP3nmsaGrondXXS5BvrSH,Joy Denalane,spotify:artist:5vP3nmsaGrondXXS5BvrSH
2jKndvg84LqMjBGFFKaWLC,Dana,spotify:artist:2jKndvg84LqMjBGFFKaWLC
5LHRHt1k9lMyONurDHEdrp,Tyga,spotify:artist:5LHRHt1k9lMyONurDHEdrp
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,spotify:artist:137W8MRPWKqSmrBGDBFSop
5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea,spotify:artist:5yG7ZAZafVaAlMTeBybKAL
4lDiJcOJ2GLCK6p9q5BgfK,Kontra K,spotify:artist:4lDiJcOJ2GLCK6p9q5BgfK
3IrUyDPQlQFcB5lMWhPml2,SSIO,spotify:artist:3IrUyDPQlQFcB5lMWhPml2
7EJwrZYRepsc1zHNkDcITg,Die Orsons,spotify:artist:7EJwrZYRepsc1zHNkDcITg
0r0R5nIjDY04TfxRM10Bcb,Alligatoah,spotify:artist:0r0R5nIjDY04TfxRM10Bcb
1AzY6fJYpYIOxfckbx2iRn,Fabian Römer,spotify:artist:1AzY6fJYpYIOxfckbx2iRn
5ZDBkifba6O2TRqyzxGuoq,LAAS,spotify:artist:5ZDBkifba6O2TRqyzxGuoq
4qcAW74j6r6Rmoon9MjVGq,Rag,spotify:artist:4qcAW74j6r6Rmoon9MjVGq
1ZSbYdaqdapaUmn61VES4O,MC Rene,spotify:artist:1ZSbYdaqdapaUmn61VES4O
1qLeno57I9RqXUGcT9zUSK,Carl Crinx,spotify:artist:1qLeno57I9RqXUGcT9zUSK
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C
6VXZCpbkwm0W0aPjQR1t4K,Youngblood Hawke,spotify:artist:6VXZCpbkwm0W0aPjQR1t4K
5PxCTrv3Y1xVACfngpt7D2,Lostboycrow,spotify:artist:5PxCTrv3Y1xVACfngpt7D2
1OUTOOUK6WFuwXEIGjT1wx,Orange Grove,spotify:artist:1OUTOOUK6WFuwXEIGjT1wx
7jrPwSnxm8sxbEuaW67oPO,SPYZR,spotify:artist:7jrPwSnxm8sxbEuaW67oPO
0PGB0xsAyDqHHlvNQcgq5S,POWERS,spotify:artist:0PGB0xsAyDqHHlvNQcgq5S
2PU4qFehXQF7WnlFsJpBiJ,Raury,spotify:artist:2PU4qFehXQF7WnlFsJpBiJ
5EehXjjMktLuJmbRsM7YfB,Disciples,spotify:artist:5EehXjjMktLuJmbRsM7YfB
3q9nybxzbSHsesDBHUlP4c,Coleman Hell,spotify:artist:3q9nybxzbSHsesDBHUlP4c
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,spotify:artist:7f5Zgnp2spUuuzKplmRkt7
5gtYjyZlmPOc1lLHvYzCON,Janieck Devy,spotify:artist:5gtYjyZlmPOc1lLHvYzCON
5vBSrE1xujD2FXYRarbAXc,Olly Alexander (Years & Years),spotify:artist:5vBSrE1xujD2FXYRarbAXc
0ZR3khgseh3xy3s8iBYWrI,Talisco,spotify:artist:0ZR3khgseh3xy3s8iBYWrI
0yVsjvkktE19JN3KwcI9Lz,Andreas Herbig,spotify:artist:0yVsjvkktE19JN3KwcI9Lz
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,spotify:artist:2DlGxzQSjYe5N6G9nkYghR
4YXycRbyyAE0wozTk7QMEq,Matoma,spotify:artist:4YXycRbyyAE0wozTk7QMEq
4pb4rqWSoGUgxm63xmJ8xc,Madeon,spotify:artist:4pb4rqWSoGUgxm63xmJ8xc
1fpemL1wk3ZyXVfpzlVEkL,Kyan,spotify:artist:1fpemL1wk3ZyXVfpzlVEkL
2IjiuEObrCKyZvSb8xLxG9,filous,spotify:artist:2IjiuEObrCKyZvSb8xLxG9
0lzV2CiahHRiGd6qpADtPS,James Hersey,spotify:artist:0lzV2CiahHRiGd6qpADtPS
7xQTON6uj7akAGzlanUzy3,Charlie Winston,spotify:artist:7xQTON6uj7akAGzlanUzy3
6DIS6PRrLS3wbnZsf7vYic,WALK THE MOON,spotify:artist:6DIS6PRrLS3wbnZsf7vYic
2l35CQqtYRh3d8ZIiBep4v,MKTO,spotify:artist:2l35CQqtYRh3d8ZIiBep4v
6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,spotify:artist:6sFIWsNpZYqfjUpaCgueju
4d53BMrRlQkrQMz5d59f2O,Mayer Hawthorne,spotify:artist:4d53BMrRlQkrQMz5d59f2O
35GL8Cu2GKTcHzKGi75xl5,Jennifer Hudson,spotify:artist:35GL8Cu2GKTcHzKGi75xl5
2qc41rNTtdLK0tV3mJn2Pm,Ryan Adams,spotify:artist:2qc41rNTtdLK0tV3mJn2Pm
0MeLMJJcouYXCymQSHPn8g,Sleeping At Last,spotify:artist:0MeLMJJcouYXCymQSHPn8g
2b3drQxjyrPpJEef3mNGwc,Jakob Dylan,spotify:artist:2b3drQxjyrPpJEef3mNGwc
2gsggkzM5R49q6jpPvazou,Jessie J,spotify:artist:2gsggkzM5R49q6jpPvazou
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,spotify:artist:4STHEaNw4mPZ2tzheohgXB
23fqKkggKUBHNkbKtXEls4,Kygo,spotify:artist:23fqKkggKUBHNkbKtXEls4
