duration_ms,explicit,name,popularity,uri,orig_uri,isrc
250760,True,Mockingbird,86,spotify:track:561jH07mF1jHuk7KlaeF0s,spotify:track:17baAghWcrewNOcc9dCewx,USIR10400813
250188,True,The Monster,78,spotify:track:48RrDBpOSSl1aLVCalGl5C,spotify:track:5U8hKxSaDXB8cVeLFQjvwx,USUM71314082
272417,True,Survival,60,spotify:track:3stOygN0I7CIvkEB2LJGbv,spotify:track:29Key5Lj0YlIMH8JzRDy6U,USUM71312879
301721,True,Rhyme Or Reason,48,spotify:track:45JxylFwaThjLsRBuzcfoL,spotify:track:1WGUqMaTj8MN7QYZErtsVv,USUM71314075
213493,True,On Fire,52,spotify:track:6HLZaECJKDjNE0jiGBeqxz,spotify:track:5H4nA6WBNdsqOa4gNNdDCM,USUM71015412
296269,True,Legacy,55,spotify:track:1mavQ4WCzXSeL2Dm5DS4GQ,spotify:track:2Ammarl4cQ1TCaGzf39u7K,USUM71314077
263373,True,Love The Way You Lie,84,spotify:track:15JINEqzVMv3SvJTAXAKED,spotify:track:6UaRii9AH6Zss9xNMEQ2M9,USUM71015397
322693,False,Elouise,5,spotify:track:09uGmDGGyYI09o4BOpC0j5,spotify:track:3UYwf53JDZf3QyMPHwXVHO,GBAJH0700109
243960,False,Midnight City,78,spotify:track:6GyFP1nfCDB8lbD2bG0Hq9,spotify:track:29U1azNyQN2vSqIquF9srD,GB55H1100002
341879,False,I'm In Need - Original Mix,1,spotify:track:1vccwNTt8I8XfWCkeRW56d,spotify:track:1vccwNTt8I8XfWCkeRW56d,GBSCL1170065
215266,True,Quieres Chingar,0,spotify:track:5IThhEWvquRMKyTr9zu2fO,spotify:track:5IThhEWvquRMKyTr9zu2fO,USDNB0592711
290000,False,Smoke Weed Every Day,4,spotify:track:2eX0VHqKB0FWAYFDFipnMC,spotify:track:0cKd8im5xDSeNYQWB8KOHp,FR6V80501275
268653,True,Westcoast Dream (feat. Mr Coronas & Ribah),0,spotify:track:05ev1FBD1ipQhkNoGZUyxS,spotify:track:05ev1FBD1ipQhkNoGZUyxS,USASN1301572
257139,False,Wünsch dir was,47,spotify:track:64Iu1YYGfIkMQWnf0LJHMD,spotify:track:072f4xc2A36aVzADg4DnRR,DEDG61500007
199346,False,Lach Für Mein Twitta,25,spotify:track:2ZeSbnKNXNs8CJcPF0QXim,spotify:track:3xzfBsW9eCeuoivKnwGo2l,ATI211204606
