artist_uri,isrc
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,USUG11500741
spotify:artist:0TnOYISbd1XYRBk9myaseg,USRC11402646
spotify:artist:7bXgB6jMjp9ATFy66eO08Z,USRC11402646
spotify:artist:1SupJlEpv7RS2tPNRaHViT,USSD11500005
spotify:artist:7qG3b048QCHVRO5Pv1T5lw,USSD11500005
spotify:artist:7CajNmpbOovFoOoasH2HaY,GBARL1500704
spotify:artist:5EehXjjMktLuJmbRsM7YfB,GBARL1500704
spotify:artist:6MF9fzBmfXghAz953czmBC,UK95W1400001
spotify:artist:4bL2B6hmLlMWnUEZnorEtG,DEUM71500425
spotify:artist:2TL8gYTNgD6nXkyuUdDrMg,DEUM71500425
spotify:artist:134GdR5tUtxJrf8cpsfpyY,USQX91500744
spotify:artist:2XnBwblw31dfGnspMIwgWz,USUG11500070
spotify:artist:1xNmvlEiICkRlRGqlNFZ43,USUG11500070
spotify:artist:6hyMWrxGBsOx6sWcVj1DqP,USUG11500070
spotify:artist:02kJSzxNuaWGqwubyUba0Z,USRC11502862
spotify:artist:7bXgB6jMjp9ATFy66eO08Z,USRC11502862
spotify:artist:2jku7tDXc6XoB6MO2hFuqg,USRC11502862
spotify:artist:738wLrAtLtCtFOLvQBXOXp,QMUY41500182
spotify:artist:4VZY0nxYMSNotbS7WjNVQy,QMUY41500182
spotify:artist:374sWpAJsbZckf98df2jJJ,QMUY41500182
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,GBAYE1500981
spotify:artist:25u4wHJWxCA9vO0CzxAbK7,USWB11506516
spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,USUM71500658
spotify:artist:0bMt8SJlp0gFRUufzifS05,DEUM71500710
spotify:artist:738wLrAtLtCtFOLvQBXOXp,QMUY41500009
spotify:artist:4wHZkzWXD9GPr4RQAYjUcv,QMUY41500009
spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,USUM70506288
spotify:artist:134GdR5tUtxJrf8cpsfpyY,SEWEE1201101
spotify:artist:1lc8mnyGrCLtPhCoWjRxjM,AUVHA1200010
spotify:artist:2xRBcpNYedlk5IhmIxfUqo,AUVHA1200010
spotify:artist:147jymD5t0TCXW0DbaXry0,AUVHA1200010
spotify:artist:3TVXtAsR1Inumwj472S9r4,USCM51100290
spotify:artist:4YXycRbyyAE0wozTk7QMEq,USAT21500224
spotify:artist:5me0Irg2ANcsgc93uaYrpb,USAT21500224
