id,name,uri
26dSoYclwsYLMAKD3tpOr4,Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,spotify:artist:1yxSLGMDHlW21z4YXirZDS
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
6vWDO969PvNqNYHIOW5v0m,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m
7rZNSLWMjTbwdLNskFbzFf,Sugababes,spotify:artist:7rZNSLWMjTbwdLNskFbzFf
3Isy6kedDrgPYoTS1dazA9,Sean Paul,spotify:artist:3Isy6kedDrgPYoTS1dazA9
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6
3r17AfJCCUqC9Lf0OAc73G,Fergie,spotify:artist:3r17AfJCCUqC9Lf0OAc73G
3ipn9JLAPI5GUEo4y4jcoi,Ludacris,spotify:artist:3ipn9JLAPI5GUEo4y4jcoi
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS
7xTKLpo7UCzXSnlH7fOIoM,Redman,spotify:artist:7xTKLpo7UCzXSnlH7fOIoM
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i
0IF46mUS8NXjgHabxk2MCM,Kelis,spotify:artist:0IF46mUS8NXjgHabxk2MCM
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
7LnaAXbDVIL75IVPnndf7w,Jamie Foxx,spotify:artist:7LnaAXbDVIL75IVPnndf7w
6jJ0s89eD6GaHleKKya26X,Katy Perry,spotify:artist:6jJ0s89eD6GaHleKKya26X
3K2zB87GZv1krx031en5VA,La Roux,spotify:artist:3K2zB87GZv1krx031en5VA
31TPClRtHm23RisEBtV3X7,Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7
6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,spotify:artist:6GMYJwaziB4ekv1Y6wCDWS
4p07QU02SrLsaORo25h2Lg,Sammie,spotify:artist:4p07QU02SrLsaORo25h2Lg
5sm0jQ1mq0dusiLtDJ2b4R,Eric Prydz,spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms
3KV3p5EY4AvKxOlhGHORLg,Jeremih,spotify:artist:3KV3p5EY4AvKxOlhGHORLg
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,spotify:artist:2jw70GZXlAI8QzWeY2bgRc
3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,spotify:artist:3TNt4aUIxgfy9aoaft5Jj2
2wIVse2owClT7go1WT98tk,Missy Elliott,spotify:artist:2wIVse2owClT7go1WT98tk
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
3AuMNF8rQAKOzjYppFNAoB,Kelly Rowland,spotify:artist:3AuMNF8rQAKOzjYppFNAoB
3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,spotify:artist:3Mcii5XWf6E0lrY3Uky4cA
3USpNaxpX1iNqNnQWqg9ob,Mack 10,spotify:artist:3USpNaxpX1iNqNnQWqg9ob
5h6zIU8cm6UzAaHsjXmNKl,Ms. Toi,spotify:artist:5h6zIU8cm6UzAaHsjXmNKl
12Kgt2eahvxNWhD5PnSUde,Mary Mary,spotify:artist:12Kgt2eahvxNWhD5PnSUde
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,spotify:artist:4yiQZ8tQPux8cPriYMWUFP
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa
4d3yvTptO48nOYTPBcPFZC,Eve,spotify:artist:4d3yvTptO48nOYTPBcPFZC
09A1kpyGbzYAPb8cEvee64,Stevie J,spotify:artist:09A1kpyGbzYAPb8cEvee64
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
4ME85YvMUi1hdqhbind7gy,Guru Josh Project,spotify:artist:4ME85YvMUi1hdqhbind7gy
25sJFKMqDENdsTF7zRXoif,Klaas,spotify:artist:25sJFKMqDENdsTF7zRXoif
4L8MIM7AXmq6jb0tRix4JT,Artful Dodger,spotify:artist:4L8MIM7AXmq6jb0tRix4JT
1NmCD7ZZqEs7Dfp6fSZkZ0,Romina Johnson,spotify:artist:1NmCD7ZZqEs7Dfp6fSZkZ0
0EmeFodog0BfCgMzAIvKQp,Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp
3ScY9CQxNLQei8Umvpx5g6,Fat Joe,spotify:artist:3ScY9CQxNLQei8Umvpx5g6
1J2VVASYAamtQ3Bt8wGgA6,Ja Rule,spotify:artist:1J2VVASYAamtQ3Bt8wGgA6
5rkVyNGXEgeUqKkB5ccK83,Ashanti,spotify:artist:5rkVyNGXEgeUqKkB5ccK83
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,spotify:artist:1U1el3k54VvEUzo3ybLPlM
22099GssG7Ood0d5UIh2wo,Serani,spotify:artist:22099GssG7Ood0d5UIh2wo
2feDdbD5araYcm6JhFHHw7,Labrinth,spotify:artist:2feDdbD5araYcm6JhFHHw7
6sCbFbEjbYepqswM1vWjjs,Zendaya,spotify:artist:6sCbFbEjbYepqswM1vWjjs
26s8LSolLfCIY88ysQbIuT,Three 6 Mafia,spotify:artist:26s8LSolLfCIY88ysQbIuT
6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ
2NUz5P42WqkxilbI8ocN76,Vybz Kartel,spotify:artist:2NUz5P42WqkxilbI8ocN76
0z4gvV4rjIZ9wHck67ucSV,Akon,spotify:artist:0z4gvV4rjIZ9wHck67ucSV
7xNPROyVfkH4mcIxxCxySm,Junior Senior,spotify:artist:7xNPROyVfkH4mcIxxCxySm
4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,spotify:artist:4RVnAU35WRWra6OZ3CbbMA
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,spotify:artist:4STHEaNw4mPZ2tzheohgXB
6QEKXJs8gQCiyBq5L8knco,Linda McCartney,spotify:artist:6QEKXJs8gQCiyBq5L8knco
0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4
64H8UqGLbJFHwKtGxiV8OP,THE ANXIETY,spotify:artist:64H8UqGLbJFHwKtGxiV8OP
3rWZHrfrsPBxVy692yAIxF,WILLOW,spotify:artist:3rWZHrfrsPBxVy692yAIxF
1xoxekeb8jUVHKJB7m6bfg,Tyler Cole,spotify:artist:1xoxekeb8jUVHKJB7m6bfg
3nDNDLcZuSto4k9u4AbcLB,Marteria,spotify:artist:3nDNDLcZuSto4k9u4AbcLB
7e52Ytzjj1q71DUj2cSlch,Sarah Connor,spotify:artist:7e52Ytzjj1q71DUj2cSlch
7aBzpmFXB4WWpPl2F7RjBe,Wyclef Jean,spotify:artist:7aBzpmFXB4WWpPl2F7RjBe
011bJBtG8SdkBqBiSpBllF,JEREMIAS,spotify:artist:011bJBtG8SdkBqBiSpBllF
0lFLP59V4TY3XgnrkFIwxK,Katja Krasavice,spotify:artist:0lFLP59V4TY3XgnrkFIwxK
06PAmgIjWsh7qNnmikUYl0,Stard Ova,spotify:artist:06PAmgIjWsh7qNnmikUYl0
2urF8dgLVfDjunO0pcHUEe,Alvaro Soler,spotify:artist:2urF8dgLVfDjunO0pcHUEe
3pjq2pDV9RR6VY55wBjVnp,Dardan,spotify:artist:3pjq2pDV9RR6VY55wBjVnp
3utZ2yeQk0Z3BCOBWP7Vlu,CRO,spotify:artist:3utZ2yeQk0Z3BCOBWP7Vlu
6zBax4hSAI1BJYgwF61EP5,Inéz,spotify:artist:6zBax4hSAI1BJYgwF61EP5
3tmjMu5zfLOTVJ8YX5FDpU,Yasha,spotify:artist:3tmjMu5zfLOTVJ8YX5FDpU
3LPEGy5eAGPgKYJVrkRuSX,Kynda Gray,spotify:artist:3LPEGy5eAGPgKYJVrkRuSX
65AzRSW0jKSs0WtttEXrOw,ELIF,spotify:artist:65AzRSW0jKSs0WtttEXrOw
2f7f3AmL16mmiAmYnxmmfx,Provinz,spotify:artist:2f7f3AmL16mmiAmYnxmmfx
60pVmLS5zlt31OWk340O3U,MAJAN,spotify:artist:60pVmLS5zlt31OWk340O3U
7BSNHln0lSqyDHdQ3sv0Q5,Disarstar,spotify:artist:7BSNHln0lSqyDHdQ3sv0Q5
5SOl3LVqx4xg1BPNKk7Ak0,DAZZIT,spotify:artist:5SOl3LVqx4xg1BPNKk7Ak0
6ztKrKekC3nb3nCBoy9HUt,ENNIO,spotify:artist:6ztKrKekC3nb3nCBoy9HUt
