duration_ms,explicit,name,popularity,uri,isrc
224400,False,Womanizer,72,spotify:track:4fixebDZAVToLbUCuEloa2,USJI10800838
251440,True,Boom Boom Pow,64,spotify:track:3oDFtOhcN08qeDPAK6MEQG,USUM70955624
212280,False,Shut Up And Drive,65,spotify:track:4Tn2llBm1g0UlWctmgPL8Z,USUM70734703
208066,False,Sweet Dreams,53,spotify:track:6Q8ljVgg7kR0R5v2aOXHlg,USSM10804756
212400,False,About You Now,57,spotify:track:1ctdfJSzp6qF2iDAVdDrfl,GBUM70706601
244866,False,Baby Boy (feat. Sean Paul),62,spotify:track:6dF5QhnUT1pjG0mDCbEYVf,USSM10305420
202066,False,Party In The U.S.A.,77,spotify:track:3E7dfMvvCLUddWissuqMwr,USHR10924519
246600,True,Glamorous,60,spotify:track:4N0tDOF2bo9JEpSqLNlpjq,USUM70609119
289133,False,I Gotta Feeling,77,spotify:track:4kLLWz7srcuLKA7Et40PQR,USUM70965169
218093,False,Push The Button,58,spotify:track:3EDS89HeAhHiZKlljciK0a,GBAAN0500329
298853,False,Dirrty (feat. Redman),62,spotify:track:59ZTxQo8rBycIXPLUIKvE2,USRC10200845
207733,False,Bootylicious,53,spotify:track:09mkdGhqb5ySKVsnkx9hy2,USSM10102677
182626,False,Milkshake,62,spotify:track:26wpcLqBHEfOL00i1rdbun,USAR10301131
207626,True,Gold Digger,76,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,USUM70500143
230746,False,Last Friday Night (T.G.I.F.),68,spotify:track:455AfCsOhhLPRc68sE01D8,USCA21001264
193213,False,Single Ladies (Put a Ring on It),56,spotify:track:5mMjkxGijQB4JZallYrkOW,USSM10803760
205733,False,Bulletproof,66,spotify:track:3kMrazSvILsgcwtidZd1Qd,GBUM70903779
254040,False,Survivor,59,spotify:track:7qtAgn9mwxygsPOsUDVRRt,USSM10019326
267266,False,Rock Your Body,75,spotify:track:1AWQoqb9bSvzTjaLralEkT,USJI10200367
193386,False,Kiss Me Thru The Phone,49,spotify:track:0KvWitOwZB3cc5ldWRu70T,USUM70848200
179640,False,I Kissed A Girl,69,spotify:track:14iN3o8ptQ8cFVZTEmyQRV,USCA20801738
157432,False,Pjanoo - Radio Edit,61,spotify:track:0F2BxpbxH8Yc3pLub48hrb,GBCEN0800951
237200,False,Poker Face,76,spotify:track:1QV6tiMFM6fSOKOGLMHYYg,USUM70824409
226506,False,Birthday Sex,66,spotify:track:16XNk3bVCSHXN1rlwbXtHb,USUM70959630
223080,False,Say It Right,75,spotify:track:2aI21FnmY7TJVKeMaoQZ0t,USUM70603368
221000,False,Heads Will Roll,63,spotify:track:2WRFD9WczJ975X2K1Y9YVs,GBUM70900924
284373,False,Meet Me Halfway,71,spotify:track:3F9ByoUqu31xU0I3G5xfVg,USUM70967700
263226,True,Work It,64,spotify:track:3jagJCUbdqhDSPuxP8cAqF,USEE10240730
189000,False,When Love Takes Over (feat. Kelly Rowland),54,spotify:track:619bJQ9uDi8dnXzLebFI7y,FRZID0900200
259306,True,You Can Do It,53,spotify:track:1xMPwgmLHVXkIFYL0rvGiZ,USBS10000052
198346,False,Shackles (Praise You),57,spotify:track:7JKEA8xYDoFp4q0QBW2PGg,USSM19922334
199853,True,Hollaback Girl,66,spotify:track:0eqH0ALoDQevq59YcQ53KE,USIR10400847
276920,True,Empire State Of Mind,77,spotify:track:2igwFfvr1OAGX9SKDCPBwO,USJZ10900031
220226,False,Hot N Cold,71,spotify:track:0iGckQFyv6svOfAbAY9aWJ,USCA20802544
230133,True,Let Me Blow Ya Mind,69,spotify:track:3RmKpob8xzv1pzHEQrMJah,USIR10110155
235466,False,One More Time - Radio Edit [Short Radio Edit],51,spotify:track:0ijhkvBpA7OBlY4clWSUZw,GBDUW0000054
192294,False,Infinity 2008 - Klaas Vocal Edit,70,spotify:track:3aQz0z86zrKjd1mcZlonxE,DEHD60712073
271333,False,Say My Name,74,spotify:track:7H6ev70Weq6DdpZyyTmUXk,USSM19901056
238093,False,Moving Too Fast - Radio Edit,49,spotify:track:4FLFm76nwepkcxzqS8PzH4,GBHGA0400113
196160,False,"Whenever, Wherever",72,spotify:track:2lnzGkdtDj5mtlcOW2yRtG,NLB630100324
267093,True,What's Luv? (feat. Ja-Rule & Ashanti),70,spotify:track:2mKouqwAIdQnMP43zxR89r,USAT20110293
244999,False,DARE,73,spotify:track:4Hff1IjRbLGeLgFgxvHflk,GBAYE0500178
209560,False,She's My Collar (feat. Kali Uchis),69,spotify:track:3lIxtCaROdRDuTnNBDm3n2,GBAYE1700176
188200,False,No Games,58,spotify:track:3WU2blK7YBcugEEU9CATvF,USLQ20912501
192986,False,All For Us - from the HBO Original Series Euphoria,64,spotify:track:10hMM5nsZQf66ldBlgWBfG,USUG11902729
236600,True,Stay Fly,62,spotify:track:5MYFw4T2gy52pOGBN4EYHS,USSM10502938
221946,False,Wait A Minute,45,spotify:track:0LuXDAf5qLisuEII1iI81y,USUM70501941
204500,True,Fever,60,spotify:track:0btB1fHGwvipD4IUmyh1vL,JMA271600737
238493,False,Bananza (Belly Dancer),58,spotify:track:3BwkldhE22DdxOcXegF2Kv,USUR10300501
181826,False,Move Your Feet,65,spotify:track:4DX82Vc8qAH4jJPvKxvwg6,DKMFA0300203
